Title,Price,Sold,Reviews,Condition,Heating Element Format,Model,Country/Region of Manufacture,Custom Bundle,Item Depth,Item Width,Smart Home Compatibility,Material,Energy Star,Tank Capacity,Power Source,Type,Features,Smart Home Protocol,Timer Control,Color,Year Manufactured,Operating Sound Rating,Energy Efficiency Ratio (EER),Mounting Location,Item Length,Number of Heat Settings,Area Covered,Power,BTU Heating Rating,Brand,Manufacturer Warranty,Control Style,Heating Element Material,EC Range,Heating System,Annual Fuel Utilization Efficiency (AFUE),Voltage,MPN,UPC,Country of Origin,Air Direction,Colour,Location,Height,Depth,Width,EAN,Energy Efficiency Rating,Bundle Description,Cable Length,Size,Gender,Dial Color,Department,Lot,Type 1,Mounting & Moving,Control Type,Suitable Location,Refrigerant,Design,Tube Length,Wattage,Shape,Number of Pieces,Towel Rack Length,Modified Item,Mounting,Item Height,Style,Recommended Environment,Heating Technology,Heater Style,Noise Level,Modification Description,Room Coverage Area,Manufacturer Color,Time Control,ISBN,Application,Temperature,Cover material,Perfermance,Product Name,Power (W),Unit Quantity,Current Rating,Hight,Tonnage,Name,Power Cord Length,Product Power,Product Height (in),Area Heated (Sq Ft),Product Depth (in),Heater Controls,Room Size,Heater Type,Certifications and Listings,Color Family,Portable Heater Safety Features,Cord Length (in),Indoor/Outdoor,Product Width (in),Power/Fuel Type,Portable Heater Features,Wattage (watts),Heat rating (BTU/hour),Amperage (amps),Voltage (volts),Product Weight (lb),Bundle Listing,Package Contents,Voltage:,Power ：,Product color:,Power supply:,Packing:,Product Lot Quantity,Compatible Model,Manufacturer,PackQty,Motor power,Power supply,Plug type,Shape material,Color box size,Product gross weight,Remarks,Origin,Room,Heating Wattage,Heating Element:,Use:,Certification,Rated voltage:,Switch type:,Rated power,plug,Types of heating appliances:,Electric Heater Type:,How to heat it:,Installation:,Protection Properties,GTIN,Max. Power (kW),Voltage Supply,Power Type,Protection,Manufacturer Part Number,ProductType,Item Weight,Heating Method,Item Dimensions LxWxH,Stock #,Control Way,Driving Mode,Temperature of Air Outlet,Tube Material,Warranty,Maximum power,Installation,Use,Model Number,Heating Element,Function,Electric Heater Type,Area Heated,Number of Speed Settings,Annual Fuel Utilization Efficiency,Energy Efficiency Ratio,Key Word,Key Word 2,Key Word 3,Key Word 4,Length,Height (In.),Width (In.),Phase,Watts,Non-Domestic Product,Ship Fullfillment,Returns,Costumer Care,Up to 32 Degrees,Heater Voltage,Portable,Easy To Carry,Easy To Clean,Secured Payment,Limited Discounted Stock,Highest Quality,Made For,40$OFF SALE,Prop65_fl,Prop65Warning,Application:,Electric Heater,Heater Plug Type:,Heater Type:,Item Type,Item model number,Is Discontinued By Manufacturer,Package Dimensions,Heat Output,ItemWidth,ItemLength,ItemHeight,Model No.,Item Weight Major,Item name,wall heater,Control,Christmas gift,Batteries Required,Product Dimensions,item_width,item_length,Number Of Speed Settings,Voltage (v),Sku,Plug Type,Temperature Range,Timing Time,Wind Speed,Package,Quality,Positive,Ships From,Made in,payment,Heating BTU
"Geek Heat Slim Oscillating Personal Desktop Space Heater with Humidifier, Mint",36.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,HH01-(mint),Unknown,,,5.5 in,,,,,,,,,,Green,,,,,9.8 in,,,,,Geek Heat,,,,,,,,HH01-(mint),850018165181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soleil Heater Remote Control Tested Working Complete Free Shipping,39.99, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",NA,NA,,,NA,NA,,Steel,Compliant,NA,Electric,Portable Heater,Timer,,,Black,,NA,NA,Floor,NA,3,NA,NA,5000-5999 BTU,Soleil,,Remote Control,NA,A+++ - D,Infrared,NA,120 V,NA,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pelonis HO-0264 Heater, Whole Room Radiator",39.97, , ,,,Pelonis HO-4264,,,,,,"Plastic, Steel",,,Electric,Radiator,"Handle, Thermostat",,,Black,,,,Floor,,1,,,,Pelonis,,,,,Radiant,,,HO-0264,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500 watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500W Portable Efficient Space Heater Indoor PTC Ceramic Electric Desktop Jb,38.46,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",See description,See description,,,See description,See description,,See description,See description,See description,See description,See description,See description,,,See description,,See description,,See description,See description,See description,See description,See description,See description,Unbranded,,See description,See description,,See description,,See description,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,See description,See description,Package List： Space Heater,Tempreture Control,For Home Office,500W Portable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINTAGE Crane Co. NEW Baseboard Heater End Cover Heat Baseboard NIB Right Left,39.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,1.5,3,,,,NA,,Baseboard Heater,,,,White,,Standard,,Wall,8.25,,na,0,0,Baseboard Heater Cover,,,,,,,0,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cozy Space Heater Variable Speed Eco-Save Personal Heater 750 Watt 120 VAC #ESH,35.0, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Strip,ESH,China,,7.5 in,"7.5"" Diameter",,Ceramic Heating Element,,,Electric,Forced Air,"Thermostat, Tip-Over Safety Switch",,,Black,,,,"Cabinet, Tabletop, Under Desk",11 in,Variable,100 sq ft or Less,701-800 W,,Cozy,6 Months,Dial,Steel,,Forced Air/Fan,,120 V,ESH,706069238117,,1-Way,,,"11""",,,,,,,,,,,,,,,,,,,,,,,,,,Modern,Indoor,,,,,,Black / Silver,,,,,,,,,,15.1-20 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honeywell HHF250 Two Position Heater & Fan Multi White Small 13.8"" Tall NEW",39.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Honeywell HHF250,,,5.5 In,6.1 In,,Ceramic,,,Fan,Portable Heater,,,,White,,,,"Desk/Tabletop, Floor",11 In,2,,1100 W,3000-3999 BTU,Honeywell,,Dial,,,Forced Air/Fan,,120 V,,328785004434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLEAN Vintage Duracraft CZ-306 Portable Ceramic Air Space Heater ~Electric~1500W,36.99, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",,CZ-306,,,,,,Ceramic,,,"Electric, Fan",Portable Heater,Portable,,,Brown,1994,,,"Desk/Tabletop, Floor",,Variable,100 sq ft or Less,1001-1500 W,,DuraCraft,,Push Button,,,Forced Air/Fan,,120 V,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soleil Electric Digital Ceramic Heater 1500W Indoor Black PTC-915B New,39.98, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Model PTC-915B,China,No,,,,Ceramic,,,Electric,Portable Heater,"Safety Touch, Overheat Safety Fuse, Adjustable Thermostat",,,Black,,,,Floor,,2,,750/1500,,Soleil,,Digital,,,Digital Ceramic Heater,,120 V,,815900020849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honeywell 360 Degree Surround Indoor Space Heater Black 1500W HHF360B Open Box,, , ,,Strip,Honeywell 360° Surround Heat HHF360,,,NA,14 in,,High Temp Plastic,4 Stars,NA,Electric,Tower Heater,"Auto Shut-off, Oscillation",,,Black,,21-30 dB,3 or Less,Floor,NA,4,101-150 sq ft,1001-1500 W,na,Honeywell,,Rotary Knob,Steel,A - G,Forced Air/Fan,1,120 V,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEMPCO EHT00035 120V Tubular Enclosure Heater (350W 1 Phase) - Heater Unit Only ,37.5,30-day returns, ,,,Tubular Enclosure Heater,,,,4.200,,,,,,,,,,,,,,,,,,,,TEMPCO,,,,,,,120,EHT00035,Does not apply,,,,,"3-5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Warming, Freeze Protection, Condensate Protection",,,,,,,,,,12.600,3-5/8,1-9/16,1,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12V Ptc Car Fan Air Heater For Small Room Space Heating 100W Corded Electric New,35.19,8 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,Does not apply,,,,Does not apply,,Does not apply,Does not apply,,Corded Electric,Does not apply,Does not apply,,,Black,,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Fdit,,Does not apply,Does not apply,,Does not apply,Does not apply,Does not apply,Does not apply,663862974010,,,,,,,,0663862974010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VORNADO Personal Velocity 1 Personal Vortex Heater Open Box Tabletop or Desktop,39.5, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,EH1-0171-43,,,,7.01in,,"Plastic, metal",,,,,"Auto Shut-off, Cool touch case, Tip-over protection, Finger safe grill, Weighs 3 lb.",,,,,,,Desk/Tabletop,5.98in,2,100 sq. ft.,750 watts,,Vornado,3 Years,Dial selector,,,,,,EH1-0171-43,043765015230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYCO SWC2000YMT 2KW CONVECTOR HEATER WITH 24 HOUR TIMER 240V NON WALL MOUNT,30.0,414 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,No,,,,Metal,,,Electric,Convection Heater,"Portable, Timer",,,,,,,,,,,,,Hyco,,,,,,,240 V,"SC200YMT, SC2000YMT",,,,White,Bathroom,,,,Does not apply,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6 - 2.0 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko Model CT22835 Floor Heater With Remote Control ,39.99, , ,,,,,,,,,,,,,,,,,,,,,Floor,,,,,,Lasko,,Remote Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honeywell Environmental 360 Surround Fan Forced Heater Gray,35.7,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,HHF360V,,,,,,,,,Electric,Fan Forced Heater,,,,Black,,,,,,2,,,,Honeywell Environmental,,,,,Forced Air/Fan,,,HHF360V,80092926293600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr Heater F273701 5' Propane Hose Assembly,37.69, ,"[""I bought two propane hoses 3 years ago, this one and one like it from the sports dept at Walmart.  After two years, the Walmart hose split at the male connector end and began leaking propane and it was really stiff, especially in cold weather.  This hose by Mr. Heater is still flexible and doesn't leak after 3 years use.  I use this hose to connect from my 20 lb tank to a propane torch nozzle.  I just bought another Mr. Heater hose to replace the Walmart hose. "", ""This enables you to run your Mr.Heater heater/burner on refillable 5 gal. propane bottles. I'm going to use this for the next time my power is out in winter. Last winter brought a once in 25 years snow storm that took power out for five days. It was so heavy I was snowed in for nearly two weeks!"", ""Was looking for parts to make this item because I didn't know they manufactured this. Then this hose showed up as a premade item.  SWEET!TY"", 'works well with my portable buddy heater. beats using all my one pound bottles while at home. have a 11 and a 5 lb tank i use.', 'It works now, but hope it doesn\'t quit; (Like two others have before) The valve quits, inside the hose. I must buy expensive replacement hoses.(Thar\'s a reason the gas is called; pro-""Pane"")', 'Just what i needed to hook up to a 20 lb cylinder.  Works great used it all gun season.', 'Used it to go from my Heater to a large propane tank. Way better than using the little green propane tanks.', 'I can pay $.70 a Lb. for propane using this hose assembly verses $2.75 for 1 Lb. propane bottles.', 'This hose was a perfect fit. I am very pleased with my purchase.', 'This hose is of best quality, with fitting made for this stove and 20lb tank.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Coil,F273701,,,60 in,3.6 in,,Brass,,,Propane,Hose,,Thread,15 Minutes,Black,2018,None,,,72 in,1,,,,Mr. Heater,,,,,Radiant,,12 V,F273701,0089301737013,,,,,,,,0089301737013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honeywell Heater Slim Compact Ceramic Design Oscilltes 2 Heat Settings HCE309B,40.0, ,"['I purchased this little heater for my son and his stray cat. The cat lives on his back porch in the cold, wintery upstate New York. My son leaves food and a shelter of coats and blankets for the cat, but all attempts to approach the cat have failed.The heater gives the cat some warmth on the frigid winter nights. ', 'Absolutely A Small But Mighty Heater! Puts out a lovely amount of heat; to be so small is an awesome plus! ', 'It is great it works perfect I love it ', 'Nice design with digital display button and it creates true\xa0air circulation very hot.', 'Good heater', 'Bought as a gift for a senior citizen', 'good ;keeps small /medium areas warm', 'Works well. Gets hot fast ', 'works great so far', 'This is a hater with lots of extras.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,HCE309B,,,,,,Ceramic,,,,Compact,"Automatic Shutoff, Cool-to-Touch, Thermostat, Tip-Over Safety Switch, Oscillation",,,Black,,,,Tabletop,,2,,,,Honeywell,,,,,Forced Air/Fan,,110 V,HCE309B,328785001815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500 Watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portable Car 12V Car Electric Fan Heater ABS Heating Fan Defroster Demister,36.79,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,,,,,,,,,,,,,,Unbranded,,,,,,,,,Does not apply,,,,,,,,,,,,16*12*7.5 cm/6.3*4.72*2.95 inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12v for cars,,,,,,,,,,Car Heater,About 1.4 meters,150 w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Soleil 360° Surround Ceramic Heater for Small Spaces, Black, (02055) FS",,60-day returns, ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",na,PTC-156,,,na,na,,Ceramic,Compliant,na,Electric,Portable Heater,na,,,Black,,None,na,na,na,2,100 sq ft or Less,na,na,Soleil,,na,na,,Forced Air/Fan,na,na,02055,815900020559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delonghi 1500W Ceramic Tower Electric Space Heater w/Thermostat & Remote,39.99, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,HFX25S15L,,,,,,Ceramic,,,Electric,Tower Heater,,,,Black,,,,,,,101-150 sq ft,1001-1500 W,,De'Longhi,,,,,,,120 V,3806401,044387602501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honeywell 360 Degree Surround Heat White Heater Electric 1500W Portable,, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Electric,Portable Heater,,,,White,,,,,,,,,,Honeywell,,,,,,,,HHF360VWM,092926493608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeLonghi Ceramic Heater Quiet 1500 Watt Digital Adjustable 3 Heat Settings Box,40.0, ,"['LOVE this space heater!I have the larger model of this (Tower TCH7090ERD) for my house, so I decided to try the smaller model for my office.It has the SAME features but smaller, which is PERFECT.There\'s a remote control. It oscilates. There\'s an eco function (to help conserve energy). There\'s a timer to shut off AND turn on the space heater. There\'s an auto-off function if the heater tips over. There\'s an LED screen with the temperature and reads ""eco"" if the eco funtion is on/off. It\'s quiet. The heat can be HOT, which is nice! There are different modes which can turn on only the fan (no heat), eco/non-eco, and a non-freeze mode (maintains an area at a low temperature that\'s above freezing but not warm, used in rooms that are seldom inhabited or empty).I read LOTS of revies before purchasing this space heater and its larger model because I had a bad experience with a space heater a long time ago that nearly set my house on fire :( Since then, I\'ve avoided space heaters until these 2 models :) I anticipate that these will last a LONG time :) After they stop working, I\'ll probably stick to this brand/model :)VERY happy customer.', 'Real junk right out of the box.Hassle to return to Best buy.', 'The product may well be a very good piece of equipment ,but, it will not work on 240volts which is standard in the U.K. I believe that in order not to mislead customers you should specify the voltage of your equipment in your advertisement. I would then not wasted my money buying your 120volts heater.', 'great heater', 'GREAT', 'The heater is loud when it is on.   The fan is not strong.  The unit is not as good as what I thought.  Overall, I am unsatisfied with the unit all all.  I have a mini desk fan tower bought from costco.  It works good and quiet.']","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",,DCH5090ER,,No,7”,10”,,Ceramic,,,Electric,Ceramic,Thermostat,,24 hrs,Black,,,,,14”,1,,1501-2000 W,,De'Longhi,,"Digital, Push Button",,,,,120 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Heater Fan PTC Portable Desktop Ceramic Mini Heating Can Shake His Head,38.56,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Coil,,China,No,14cm,22cm,,"ABS, Brass",Compliant,,Electric,Portable Heater,Auto Shut-Off,,,,,11-20 dB,,"Baseboard, Desk/Tabletop, Floor",11cm,,100 sq ft or Less,401-500 W,Less Than 2000 BTU,Unbranded,,Push Button,Brass,,Forced Air/Fan,95-100%,220 V,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
