Title,Price,Sold,Reviews,Condition,Brand,Power Source,Type,Heating System,Mounting Location,Colour,Material,Number of Heat Settings,Control Style,Model,Voltage,Features,Energy Efficiency Rating,Power,Heating Element Format,Heating Element Material,Annual Fuel Utilization Efficiency (AFUE),Operating Sound Rating,BTU Heating Rating,Area Covered,Item Width,MPN,Energy Efficiency Ratio (EER),Item Depth,Item Length,Tank Capacity,EC Range,Item Height,Item Dimensions,Colormap,Product Type,EAN,Color,Country/Region of Manufacture,Custom Bundle,UPC,Air outlet temperature,Control method,Driving mode,Lamp tube material,Item model number,Manufacturer,Warranty Description,Item Diameter,Assembly Required,Is Discontinued By Manufacturer,Product Dimensions,Material Care Instructions,Country of Origin,Batteries Required?,Item Weight,Department,Heating Method,Item Dimensions LxWxH,Import Designation,Number of Pieces,Specification met,Included Components,ISBN,Year Manufactured,Smart Home Protocol,Current Rating,Smart Home Compatibility,Energy Star,Refrigerant,Timer Control,Tonnage,Air Direction,Manufacturer Warranty,Cable Length,Contents of the package,Manufacturer Part Number,Plug(Option),Gear,Product Size(L * H),Binding,Returns,Shipping Weight,SHIPPING,RETURN,ITEM LOCATION,International buyers,Heating Wattage,Height,Width,Net weight,Overall dimension,Power cord length,Frequency,Package includes,Power (W),Modified Item,Depth,Finish,Size,Model No.,Style,Heater Controls,Wattage (watts),Product Weight (lb),Room Size,Heater Type,Certifications and Listings,Color Family,Product Width (in),Amperage (amps),Indoor/Outdoor,Cord Length (in),Power/Fuel Type,Heating Product Type,Area Heated (Sq Ft),Portable Heater Features,Product Height (in),Product Depth (in),Heat Output (BTU/hour),Heating Technology Type,Voltage (volts),Heating Technology,Manufacturer Color,SKU,Vent Hose Exhaust Configuration,ProductType,Assembled Product Weight,Assembled Product Dimensions (L x W x H),Sport,Product Weight (lb.),Product Depth (in.),Product Length (in.),Area Heated (Sq. Ft.),Heat rating (BTU/hour),Pack Size,Number of Elements,Bulb Type,Mount Location,Product Width (in.),Product Height (in.),Portable Heater Safety Features,Label,PackageQuantity,ProductGroup,ProductTypeName,Publisher,Studio,frequency,Handling Time,Shipping,Satisfaction,Customer Service,International Shipping,Note,PackQty,Heat Output,Power Type,Recommended Location,Hight,Weight,Product Name,Thickness,package_length,item_length,item_width,Package Dimensions,Specific Uses For Product,Batteries Required,Batteries,Is Assembly Required?,Form Factor,Heating Element,Maximum Heat Power,Oscillation,Product Model,Timer,Power Options,Room Coverage Area,ItemHeight,ItemLength,ItemWidth,Weight (Approximate),Product,room_size,indoor_outdoor,product_depth_in,number_of_heat_settings,portable_heater_features,heater_type,voltage_volts,certifications_and_listings,heater_controls,wattage_watts,color_family,power_fuel_type,amperage_amps,portable_heater_safety_features,product_height_in,cord_length_in,product_width_in,area_heated_sq_ft,product_weight_lb,Gift,Energy Rating,Maximum Room Size (sq ft),Duct Compatible Sizes,Room,Housing Width (in),Vent Style,Included,Grill Shape,Mounting,Ventilation System,Number of Bulbs Required,Color/Finish,Product Length (in),Air Volume (CFM),Installation Type,Housing Material,Light Bulb Base Code,Mount Type,Location,Length,Battery Included,ItemPackageQuantity,Bundle Description,Number of Batteries,Battery Size,Motor Type,Battery Capacity,Battery Life,TAX,Handling Time:,Questions,NumberOfItems,Restricted States,Item,Overall Length,Application,Overall Length (In.),Includes,Construction,Phase,Mounting Type,Watts,Screw Size,Voltage Type,Mounting Dimension,Terminals,Sheath Material,Wattage,Assembled Depth (in),Patio Heater Type,Assembled Height (in),Total BTU,Cord Length (ft),Heating Area (sq ft),Outdoor Living Product Type,Fuel Type,Assembled Width (in),Connectivity,Dosage,Format,Compatible Brand,Compatible Model,Author,Book Tittle,Language,GTIN,BTU,Model Number,Cord Length,BTU Output,Cooling Method
indoor/outdoor space heater ,150.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",THERMATRONICS,Electric,Portable Heater,Infrared,Floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Portable Space Heater, 60° rotation Ceramic Heater Fan Overheat Protection Black",94.54,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Cosmonic,Electric,Portable Heater,PTC ceramic,"Desk/Tabletop, Floor, Wall",,Ceramic,,,,,Auto Shut-off,,500-1500W,,,,,,20 m³,,Does Not Apply,,,,,,,,,,,Black,,No,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko 5588 Electronic Ceramic Tower Heater with Logic Center Remote Control,91.99, ,"['I really like this heather. My room gets warm very quickly and is very safe for pets, since it is not infrared and there is not fire. My cat loves it!', 'I would highly recommend this fan, this is a great price.  This fan is extremely reliable and can heat a large room very quickly and does not take up a lot of room. I have 3 of them.', 'I did recommend and family member did purchase based on my recommendation. ', 'The box was in bad shape but the item was new and works great, the height is great for a bed that sets high.', 'excellent product., it is my second purchase as it is very durable and quiet', 'easy and efficient', 'All good', 'They came scuffed but besides that they work good!', 'Great heater! LOVE Lasko brand( have the fans for summer).', 'Great']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,Electric,Tower Heater,,,,Ceramic,2,"Remote Control, Digital",Lasko 5588,110 V,"Oscillation, Timer",,,,,,,,,,5588,,,,,,,,,,,Gray,,,0046013762825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mr Heater F215100 Little Buddy Portable Propane Heater, 3800 BTU, #MH4B",94.95,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Mr Heater,,Portable Propane Heater,,,,,,,,,,,,,,,,,,,F215100,,,,,,,,,,089301151000,,,,089301151000,,,,,,,,,,,,,,,,,,,,,,,00089301151000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,800 BTU",,,,
"One Dimplex LCM6015W31 White 60"" Baseboard Heater 1125/1500W 208/240V NEW IN BOX",94.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Dimplex,Electric,Baseboard Heater,Convection,"Baseboard, Wall",,Steel,1,,LCM6015W31,208/240 V,Timer,,,Coil,,80-85%,,,100 sq ft or Less,60in.,LCM6015W31,,,60in.,,,,,,,,White,,,0781052086517,,,,,,,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,61.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Vornado AVH10 Vortex Heaters w Auto Climate Control - Whole Room - White,95.0, ,"['Great heater. Very quick heating a medium size room, perfect for a bedroom and/or living room. Love it.', ""Amazing, smooth, hardly know its on, yet it fills the room.  Do not hesitate.   Buy it.  No other space heater don't even comes close...quiet...thermostat,  one of the coolest devices I've purchased in years.  Good warrantee.   Never had to put it on high, except one cold morning for 10 min.  Hard to understand how it is so efficient.   Genius inventor.  I'm in love with this thing.  But most important I am warm and comfortable.   Read the NYTimes review on the best space heaters.  They said they had tested 100 different ones if I remember.   And this was number one.  Hands down.  So I ordered it.  And it is.  Dig up that article and read what their team said.  Anyway,  no way you can lose on this one.  I never write reviews...but I have to here.  You will write the same review as me.  "", 'Great product.  All the the dimensions one would want:  safety, heat, air flow, and lightweight.  The manufacturer needs to make a model that oscillates.', 'As the description says it heats the entire room.  That means there is no blast of hot air coming out to warm you instantly.  The air is warm of course.  A closed room would heat the best--I do not use it that way unfortunately.  Over all I like it.', 'I use this exclusively as heat in my RV! Much better than paying for propane as long as your getting elect for free. ', 'This heater is not a whole room heater as advertised in the description. It’s a nice space heater to keep you warm when it close to you, but wouldn’t warm my room over 67 degrees. Much better heaters that work as this one, but half the price. Save your money. ', 'Fan/heater work well, quiet.  However, the display is only on when unit is running. :(Other units show room temp as long as plugged in.', 'Used in a bedroom in the basement, Heats up the space nicely', 'Bought about a year ago, not heavily used, already died.', 'It worked for a week and quit.']","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Vornado,Electric,Electric Portable Heater,Forced Air/Fan,Desk/Tabletop,,Plastic,2,Push Button,EH1-0096-43,120 V,"Heat Efficently, Heat Differently, Auto Climate Control, Superior Support, Heat Safely, Indoor",,1500W,,,,,,Medium Sized,9.3 in,AVH10,,,13.460,,,,,,,,White,,,0043765009666,,,,,,Vornado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AVH10,,,
"Contractor Series 35,000 BTU Portable Forced Air Propane Heater Jobsite Warmer ",95.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Mr. Heater,Propane,Portable Heater,,Floor,,Steel,1,,MHC35FA,,,,,,,,,30000-39999 BTU,801-850 sq ft,11.5in.,MHC35FA,,19,,,,,,,,,Black,,,0089301009653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko CC23160 Motion Heat Plus Whole Room Heater w/digital remote control,95.0, ,"['Product works very well with three speeds and a thermostat to keep temperation at what ever temp you stet it at.   Power usage is 500 watts, low, 1000 watts, med, 1500 watts high.Very easy to use.', 'I have 2 of these units and they’re AWESOME. I BOUGHT this heater  and it only works well on L3 (high); they’re giving me a supreme hassle on an exchange it return. I have not been able to find a “new” unit in a legitimate retail store so I’m stuck dealing with Amazing Deals. I’m getting the RUN AROUND. I do recommend the heater! This is NOT An AMAZING DEAL! ', 'Best small room heater we have every had.', 'Fan does distribute the heat. warms up a room if doors are closed.', 'Heater provides an adequate amount of heat.  I like being able to set the temperature desired.  Great heater, great warranty, great price', 'Worked great to heat a basement room.', 'Best heater I like the remote control', 'As advertised, great price.', 'Low profile, powerful ']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,Electric,"Ceramic, Tower Heater",Convection,"Cabinet,Tabletop,Under Desk",,Ceramic,3,"Switch, Remote Control, Digital, Touch",CC23160,120 V,Indoor,,1500 Watts of Complete Warmth and Comfort,,Stainless Steel,,,,,11.5 in,CC23160,,,,,,,,,,,Silver,,,0046013776877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infrared Heater With Tripod Adjustable Weatherproof Plug And Play Portable Black,94.1, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Heat Storm,Electric,Portable Heater,Infrared,"Floor, Wall",,Aluminum,1,Switch,Heat Storm HS-1500-TT,110 V,Weatherproof,,1001-1500 W,Coil,Steel,,None,5000-5999 BTU,251-300 sq ft,8 in,HS-1500-TT,,,24 in,,,,,,,0854271005277,Silver,,,0854271005277,,,,,,,,,,,,,,,,,Radiant,,,,,,0854271005277,,,,,,,,,1-Way,,13 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13 ft,5200,
HEAT WAGON POWER RELAY 097491 01  FITS BRAND DESA 22982-70 PORTABLE HEATERS,90.0,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Desa,,Portable Heater,,,,,,,,,,,,,,,,,,,097491 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Simple Deluxe 1500W Electric Tower Space Heater Fan w/Remote,Overheating Protect",, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Simple Deluxe,Corded Electric,Electric Space Heater,,,,,4,,,,,,,,,,,,,,HIHEATTOWER31WRC,,,,,,,,,,,White,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr. Infrared Heater DR-968 1500-watt Portable Space Heater,93.99, ,"[""Pros-outside of unit not hot if you touch it.it's on wheels, cycles on to adjust set temperature, has a remote, has a timer, safety switches ( temp &amp; if it tips over ). Youtube videos on how to repair unit, parts available. Looks nice, immediate heat, does not deplete oxygen like a ceramic heater, you can breath easily.Cons- 1500 watts &amp; 12.5 amps power used. Monitor it when you first use it, a weak or bad electrical receptacle can arc! Your plug or power cord could melt or burn. The risk always exists when you use it. I use to do electrician work long ago, be mindful.Read all instructions thoroughly and completely! DO NOT LEAVE UNATTENDED! I still like to use this heater, in fact I own two of them. Follow all safety warnings, it can be a good heater, don't let your guard down.....be vigilant, be safe, and stay warm. I watch TV with one keeping me warm, and happy."", ""Impressed with quality and many features like holding heat level economically, auto dual fan speeds, easy reading temperature, easy set up and great looking unit. Doesn't even look like a heater, more like a piece of furniture or a speaker for a high end stereo system."", 'I hen purchase several brands of infrared heaters .   Dr. Heater is built solid .  Purchased my last one in 2013.   Warranty is unsurpassed with 3 years .  Most heaters just won’t last .  Also puts our more heat output than a comparable EdenPure .   Good value and great  quality .', 'It is a hybrid infrared.  60% of the heat comes from a relatively new PTC heater.  40% comes from infrared.  It heats the air and objects in the room at the same time.  I have a small home of 1250 sq. ft.  I have three of these heaters at various places and have been able to shut my gas furnace down entirely.  Since they are very stingy on electricity, my monthly heating bill is now much less than it used to be!  I would recommend this heater to anyone without hesitation!', 'My Dr 968 1500 watt heater produces heat rapidly and cycles on and off to keep the temp where it is set.  This small unit has a fan that is barely audible and manages to push the heat away from the heat elements into the room and keep the area comfortable.  Lots of heat in a small package.', 'Well-built unit. Small, unobtrusive, and quiet. Easy to use with control panel or remote control, and the built-in thermostat works as it should. A nice feature is that the unit is on wheels so makes it easy to roll out of the way when cleaning and vacuuming. Takes the chill off my small place quite nicely. Great to use during those in-between seasons before or after you shut down or turn on the heating system. I am very satisfied with this product!', 'I have read a great deal of reviews from others before my first purchase. I have other brand spot heaters in my collection. Trial by error I suppose. Colorado Winters can be brutal at times. I purchased this for my mothers not well insulated home. a living room and a kitchen connected, 630 sq ft. this heater will keep it at a comfortable temp. for her. All at a low setting.Shuts off as it should to measure the heat in the room and comes back on when it needs to.It is supplemental. It will not heat a whole home.My unit arrived with a cracked frame on the top left corner. It works though, that is my main concern.Stays on five hours as i programmed and shuts off. Good Bang for the Buck. 5200 BTU is a great output for this size The fan is quiet when running. You can watch t.v. without noticing the heater on.In my opinion, if these units are used wisely, they are useful and can save a bit of money on your bill. Thumbs up on this unit.........', ""I bought this to use in a bedroom because it was advertised as quiet, and it came with a remote.  It's not that quiet- just a little quieter than your average cheapo space heater.  And the remote doesn't power the heater on or off- just lets the unit go on standby, which is kind of a drag.  The standby light is so bright i wound up covering it with a piece of paper.  Except for the remote, it's not worth the money."", 'Despite the fact that the first heater stopped working after 4 years I purchased another, Reasons: great features, heats area very well, low cost to operate, compact and easy to move around', ""Product arrived extremely quickly.  I'm using it in a sun-room to keep the temperatures steady for two parrots.  Am not able to determine if I am saving money on this product or not running it continuously versus other types of heating methods.  Product works well - happy so far.""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ","Dr. Heater, Dr Infrared Heater",Electric,"Infrared, Electric Portable Heater",Infrared,"Portable, Garage, Garage Cabinet, Cabinet",,Wood,13,"Touch,Digital,Switch,Remote Control, Thermostat, Switch, Remote Control, Digital, Touch, Remote Control,Touch","DR968, Dr. Infrared Heater DR-968H",110 V,"Handle, Timer, Wheels,Thermostat,Remote Control,Timer, Thermostat,Timer, Handle,Digital Display,Timer,Automatic Shutoff,Tip-Over Safety Switch,Thermostat, Cool Touch, Forced Air, Humidifier, Portable,Quiet,Dual Settings, Quartz, Portable,Cool Touch,Floor Mount,Forced Air, Automatic Shutoff,Thermostat, Remote Control, Heater, Floor Mount, Indoor, Portable, Digital Display, Wheels, Heating, Tip-Over Safety Switch, Quiet, Portable,Quartz, Dual Settings, Remote Control,Thermostat,Timer,Wheels",,1500W,Multiple Heating Element Format,Multiple Heating Element Material,Multiple Annual Fuel Utilization Efficiency (AFUE),Low,Multiple BTU Heating Rating,Multiple Area Covered,12 in,DR968,Multiple Energy Efficiency Ratio (EER),,,,,,,,,Does not Apply,"Red, Brown, Brown,Red,Black, Red,Brown,Black, Black",Malaysia,No,Does not Apply,,,,,,,,,,,,,,,,,,,,,,,,,Infrared,,,Multiple Energy Star,,12 Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luwior Infrared Heater with stand and remote,90.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",±0,Electric,Portable Heater,Infrared,"Floor, Wall",,Aluminum,1,Remote Control,,,Timer,,1001-1500 W,Carbon,Steel,,None,,,,1500W,,,,,,,,,,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Way,,13 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ceramic Space Heater for Large Room, Portable Quiet Heater 1500W/900W with Remot",93.34,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Brightown,,Does not apply,,,,Does not apply,,,Does not apply,,,,,,,,,,,Does not apply,tashan-24,,,Does not apply,,,Does not apply,,,,,Black,,,Does Not Apply,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extra Large,,Home Improvement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,,,,,,
"PELONIS PH-19J 1500W Fast Heating, Programmable Thermostat, Easy Control, Wid...",93.61, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",PELONIS,,,,,,,,,,,,,,,,,,,,,PH-19J,,,,,,,,,,Does not apply,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VONHAUS 400W CERAMIC PANEL HEATER,90.99,30-day returns, ,,VonHaus,,,Panel,,,Ceramic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TURBRO Suburbs TS17 Compact Electric Fireplace Stove, Freestanding Stove Heater ",93.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",TURBRO,Electric,Portable Heater,,,,Metal,,,Suburbs TS17,,"Safe to Touch, Easy to Use, Overheat Protection",,1400 W,,,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
