Title,Price,Sold,Reviews,Condition,Item Width,Energy Efficiency Rating,Tank Capacity,Energy Efficiency Ratio (EER),Item Length,EC Range,Annual Fuel Utilization Efficiency (AFUE),EAN,Power Source,Number of Heat Settings,MPN,Year Manufactured,Material,Item Depth,Heating Element Format,Colour,Brand,Heating Element Material,BTU Heating Rating,Type,Control Style,Heating System,Voltage,Model,Area Covered,Features,Mounting Location,Operating Sound Rating,Power,UPC,Color,Cable Length,Smart Home Protocol,Country/Region of Manufacture,Manufacturer Warranty,Location,ISBN,Timer Control,Power (W),Unit Type,Design,Voltage Supply,Energy Star,Package Contents,Custom Bundle,Modified Item,Style,Recommended Environment,Room,Heating Wattage,Unit Quantity,Manufacturer Part Number,ItemWidth,ItemLength,ItemHeight,For Use With,Item Height,Country of Origin,Tonnage,Function,Heating Element,Installation,Number of Speed Settings,Plug Type,Size,SKU,Temperature Range,Timing Time,Use,Weight,Wind Speed,Application,Area Heated,Certification,Colors,Electric Heater Type,Width,Manufacturer,Item Weight,Smart Home Compatibility,Manufacturer Color,Heating BTU,Air Direction,Current Rating,Tube Size,Applications 1,Applications 2,Applications 3,Product Name,Annual Fuel Utilization Efficiency,Energy Efficiency Ratio,Function3,Function4,Function5,Function6,Function7,Function8,Origin,Power Mode,Volume,Function1,Function2,Heating Method,Item Dimensions LxWxH,Heat Output,Wind Mode,Heater Size,ProductType,Prop65_fl,Prop65Warning,Heater Style,Power Type,Assembled Product Weight,Assembled Product Dimensions (L x W x H),Recommended Location,Number of Cool Speeds,Compressor Type,Length,Height,Heating appliance type,Operation mode,Rated voltage,Speed adjustment gear,Temperature setting,Timing function,Voltage (V),Air supply mode,Key Word,Key Word 2,Key Word 3,Key Word 4,Refrigerant,Video of unit turned on,ProductGroup,Battery Included,Bundle Description,Battery Size,Depth,Number of Batteries,Battery Capacity,Battery Life,Motor Type,SHIPPING,RETURN,ITEM LOCATION,International buyers,Department,Binding,Studio,Publisher,ProductTypeName,PackageQuantity,NumberOfItems,Label,Handling Time,Shipping,Satisfaction,Customer Service,International Shipping,Returns,Note,Voltage:,Application area:,Model No.,Item model number,Product Dimensions,manufacturer_part_number,Shape,Dimension(ID*H),Power Tolerance,Product Weight (lb.),Power/Fuel Type,Area Heated (Sq. Ft.),Wattage (watts),Heater Type,Cord Length (in.),Heating Technology Type,Amperage (amps),Room Size,Portable Heater Features,Certifications and Listings,Product Height (in.),Voltage (volts),Temperature,Wire Length,Function 1,Function 2,BTU Cooling Rating,Contents of the package,Power:,Gift,news,Offer,STORE,Refund,Return,Quality,Handling,Money Back,Ships from,cancel order ?,add to watchlist,orders outside USA,How to get great offer ?,Batteries Required?,Package Dimensions,Shipping Weight,item_width,item_length,Domestic Shipping,Size Type,Item name,Rated power,Power cord length,New Title,Assembled Width (in),Firebox Width (in),Assembled Height (in),Area Heated (Sq Ft),Power Connection,Mount Type,Color Family,Firebox Height (in),Included,Product Weight (lb),Assembled Depth (in),Firebox Depth (in),Heat Output (BTU/hour),Surround Material,Assembly Required,Total BTU,Heating Wire Material,Adjustable temperature,Applicable Area,Time Setting,Dimensions
"Tank top heater, outdoor heater, portable heater device, free three-piece set",45.0,60-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",16.25,,,,27,,,,,,Does not apply,,,,,,Unbranded,,,Portable Heater,,,,Does not apply,,,,,,Does not apply,Metallic,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Portable Electric Space Fan Oscillating Fast Heating Heater Hot Cool Fa,47.4,Free shipping and returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,Electric,,nFK2998685,,PTC ceramic,,,"Pink, White, Black",Unbranded,,,Air Heater,Switch,,,Fan Heater,,Automatic Shut-Off,Desk/Tabletop,,600W,Does not apply,,,,,,,Does not apply,,,,,,,,,,,,,,,nFK2998685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AC 220V, 50Hz",10-20㎡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slant/Fin 36 in. 357-Watt Heavy Duty Baseboard Heater,45.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",36 inches,,,,36 inches,,,,,,843822,,,37.25 inches,,,Slant/Fin,,,Baseboard Heater,,Convection,0,843822,,,Baseboard,,,042541004925,Nu-White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTIMUS H1382 HEATER FAN OSCILLATING THERMOSTAT PORTABLE,46.51,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",9,,,,10,,,0630326113827,"Fan, Electric",2,H1382,,Ceramic,,,,Optimus,,,Space Heaters,"Dial, Switch",,,,,,,,,630326113827,"White, Multicolor, Black",,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HEOP1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PATTON Electric Utility Heater 1500 WATT Portable PUH680, Tested Heats Fast",50.0,30-day returns,"['Purchased to be able to work in unheated garage during winter.  This item, described as a milk house heater, is smaller and puts out less heat than anticipated.  At its highest setting, I can warm my hands placed right in front of it, which is better than nothing.  On the plus side, the case does not get too hot to touch or to place on work bench, and the unit will shut off if tipped over.  On the downside (for me), while the brand name suggests an American company, the item is actually made in China.', ""I bought two f these heaters to keep my Sailboat warm.  So far they are doing fine. My only complaint is that I wish they came with a way to mount them on a wall.  But so far they are doing the job!  Although they have not had to work to hard so far!   By the way.  If you bag into on and it gets not down.  The heater quickly shuts completely off.  This was a safety feature that was key for my purchase.  Also.  They are made of all medal.  You don't get any residual smile of plastic smiles blowing in your face.  Another espect of this heater that I completely enjoy.  So far they are very durable and if you have a crazy cat name Recon like I do and he flies across the room and knocks the heater over.  The fear of a boat fear is no in the picture... I will say when the fan come on.  You will know it.. They are a little loud.  but run in short spurts!  "", 'The good: it get warmer than my old space heater. I love the fact you can adjust the settings for your comfort level. You will not be disappointed. It had a dial for heat and a separate dial for the fan, which you can set at high, low, or fan only. It also has a built in safety feature if it is moved or falls over for whatever reason, it automatically shuts off. You will not be disappointed.The bad: Nothing', 'I had two for the last 5 or so years, one finally broke so i replaced it with the same product', ""Replaced a previous version of the same heater. This one seems to have some design improvements that may make it last longer. On previous heaters, the heating elements broke, but this one has an added cable threaded through the element. I'm happy to see that the new one has a separate fan only setting."", 'Good little heater, fairly sturdy. I like the handles especially because you can hang it it, carry it easily, move it around easily. It can keep a mid size room pretty warm, I was impressed. My only dislike is that its a little loud...but I bought 2 and the other one is not as loud so Im not sure my dislike is fully warranted but for the one I have its a bit to loud. Overall great value', 'Really works well - solid - cranks out the heat. I own several of these and they are tough as nails - have had them for years. Best space heater for the money!', 'I went for this because of the picture and it showed that the guards goes all the way down the vent exit and it does not. it seems like it is struggling by the amount of time it takes to shut off the hotter you put it. it could be by design as well but it does heat very well. and the speed of the delivery made me increase the stars', 'The power switch is frozen on hi after just 2 weeks from receiving it. Fire hazard if you ask me.', ""I love this heater!!! It's small enough and quite enough to use in the family room. Without trying my heater keeps my living room at 74, which cuts my heating costs considerably.""]","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",,,,,,,,,Electric,2,PUH680-WM1,,,,,,Patton,,,Portable Heater,Dial,,,Patton PUH680,,,,,,0048894041419,Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko Electronic Ceramic Heater Tower With Remote Control,50.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,Ceramic,,,,Lasko,,,Tower Heater,Remote Control,,,,,,,,,0046013775818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadpro 12v RPSL-681 12-volt Ceramic Heater/fan (rpsl681),49.88,30-day returns,"["" As my house was damaged in a recent mudslide, I'm living in an insulated shed, and my power system consists of 6 golf cart batteries, an inverter and an inverter generator.  I ordered this item so that I could heat the shed without running the generator or inverter. As an electronic technician, I also disassembled it to see what quality it was, and how easy it would be to add a thermostat to it.  It's nicely made, has a good quality, quiet fan, and uses a relay to control the heater element, which means less wear and tear on it's control switch, and easy to modify for a thermostat.  It works well, and is quite adequate to get the 8x10 shed comfy when it's low 40s outside. I haven't modified it yet. Draws about 25amps. Heats up in a minute or two, and puts out a pleasant warm breeze. It's running as I type. Unlike a lot of those cheap window defroster units, it's a solid, well built product that will last, puts out a decent level of heat and doesn't sound like it's about to self-destruct any second like those cheap units.  Computer style fan should last for years..  Quite pleased with this product. "", ""I purchase one of these becausenthey are advertised well. It seemed to be my best bet when the heat in my work truck went bad and I didn't have $1,000 at that time to fix it. We only had a few more weeks of winter left so I figured this would get me through. WRONG! First of all these couldn't warm a person up nor warm the passenger compartment of any vehicle even if left running for a week(seven(7) straight days). Not to mention after only three(3) times of turning it on in an attempt to lessen the cold ride to work the thing just completely pucked out on me. I decided to take it apart to see why the most expensive aftermarket 12v vehicle heater crapped out on me. Well simply put everythong about it was just cheap. The thin guage wires used in the internal workings of this heater I think are a hazard. They would never handle the current needed to warm the heating element. I'm very thankful that my mistake of purchasing this unit didn't end way worse. Because the sheer lack of quality is dangerous, it easily could have caught my truck on fire. Terrible quality! BEWARE - WARNING! SAVE YOUR MONEY - This heater is just like throwing cash in the trash can!"", 'I use these units to heat my tractor cab. You definitely want to be sure you wire heavy enough to handle the load (#12). Then if you lose heat capability and you feel you have the ability, open it up and check the wiring where the power comes in. They have a tendency to unwire and that is an Achilles Heel. I had to beef up my last one and then it worked fine.', 'I bought this because the heater in my truck doesn\'t work. I used this heater exactly 3 times for a total less than 3 hours, and it burned up. The nasty stench of burning wires  and choking smoke filled the cab I had to pull over on a cold winter morning on the way to work and get out of the truck to get away from the nautiuos smell.. DON""T BUY THIS PIECE OF CRAP!  And I am being nice  calling it crap! ', ""At first I was very happy with the heater.  My heater in my car wasn't working so I bought this as a temporary fix until I could get it repaired.  It was easy to hook up and warmed my car's interior quite well.  Then after a few days it stopped making any heat.  It now just blows cold air."", 'received heater on time,looked exactly as picture in ad,works ok so far,wish fan was stronger,but i am pleased overall', ""Doesn't put out a lot of heat but does require a lot of power in it's attempt. Buries 1700 CCA of battery in a couple of hours. Need's continuous amp input to maintain a lesser rate of discharge. And if you're going to have to run your engine anyway might as well use your regular heat source of hot water.Unit is well constructed though, and of a clean, compact design."", 'fan is separate from heater, if you want heat  the fan does not work', ""I purchased this as auxillary heat for my snowblower tractor because when cold out, my tractor won't throw heat.  I like the easy installation, small size, nice looking, but it won't throw very much heat.  The fan will not kick out the heat that is being producted."", 'Should you buy this product? It really depends upon your application need. I put this in my truck due to no floor board heat. It does help but the heat is so so at best. The blow power is very minimal but it does help for my application']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,1 gal or Less (5 L),,,,Less Than 80%,,"Fan, Battery, Electric",3,RPSL681,2019,Ceramic,,Coil,,RoadPro,Brass,Less Than 2000 BTU,,"Dial, Rotary Knob, Switch, Push Button, Analog/Mechanical",Forced Air/Fan,12 V,,100 sq ft or Less,,,Standard,,0045464230990,Black,10ft.,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aitken Products Space Heater Fan 208/230v Part,50.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",,,,,,,,,Fan,,NA,,,,,,Aitken,,,,,,208/230 V,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honeywell TurboForce Digital Power Heat Circulator Heater,49.99, ,"[""There are many great factors to this heater, my primary reason is it is a heater, but the secondary reason which I confirmed with the maker was that it is also a fan only that can be run during the summer months.  Which I was using till our recent cold spell and the heater can run in many different mode like, low, med, high or by temp, which runs at 65 degrees, 70 and 75... I haven't checked to see how warm it can get.   It also  can run on a timer  also on the back is a switch to put in constant running or on and off cycle.   The brand is a well known name and I am to date very pleased with this purchase."", 'Meet my expectation. Good quality, but reasonable price. I like the auto mode of the product where it can rotate and sense the heat, so I do not need to manually intervene.', 'This is the best fan ever, it rotates, flips, three levels on every level, gets the job done. I have two of these now and they work great.', 'smooth', 'Great heater, does not get hot to the touch .', 'Awesome sauce!!!']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",10.4 Inches,,Does Not Apply,Does Not Apply,12.5 Inches,,Does Not Apply,,"Electric, Fan",2,HHF565B,,Forced Air/Fan,10.4 Inches,Forced Air/Fan,,Honeywell,Forced Air/Fan,5118 BTU,Portable Heater,Digital,Forced Air/Fan,120 V,HHF565B,Range Not Specified,"Auto Shut-off, Oscillation","Desk/Tabletop, Floor",None,1500 watts,328785003017,Black,,,,,,,,,,,,Not Compliant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LIFEPLUS Electric Utility Heater Personal Portable Space Heater, 3 Power Modes A",48.67,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,0744759556813,Corded Electric,,,,,,,,Does not apply,,,Does not apply,,,,,,,,,,744759556813,Black,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HopeWant,4.15 pounds,,,,,,,,,,,,,,,,,,,,,,,,Forced Air,5.3 x 9.8 x 13.9 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UH-08,5.3 x 9.8 x 13.9 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Space Heater, 1S Fast Heating Electric Heaters for Indoor Use with 3 Settings, W",46.04,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,0711181886474,Corded Electric,,,,,,,,Does not apply,,,Does not apply,,,,,,,,,,711181886474,Bluish-purple,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Convection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Space Heater for indoor use 1500W Ceramic Portable Heater with 4 Modes,45.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,Electric,4,,,Ceramic,,,,Selanto,,,Portable Heater,Analog/Mechanical,Convection,,,,Auto Shut-off,"Desk/Tabletop, Floor",,1500 W,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLACK+DECKER 1500W Ceramic Space Heater - White,49.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,3 or Less,,,Less Than 80%,0819813016197,"Fan, Electric",1,BHDC201,2018,Ceramic,,Coil,,BLACK+DECKER,Brass,5000-5999 BTU,Portable Heater,"Dial, Rotary Knob, Switch",Forced Air/Fan,115 V,,100 sq ft or Less,Auto Shut-off,"Floor, Desk/Tabletop",Standard,1001-1500 W,0819813016197,Black,,X10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Big Heat Portable Electric Space Heater Vintage Model 8319 Brookstone,49.99, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","5""",,,,,,,,Electric,2,,,,6 in,,,Brookstone,,,Portable Heater,Dial,Forced Air/Fan,120 V,8319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WILAND PTC Space Heater,LCD Electric heater with Remote Control,8H Programmable ",46.5, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,Electric,,,,,,,,Wiland,,,,Remote Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sealey Ceramic Fan Heater 1400W/230V 2 Heat Settings CH2013,45.72,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,D,,,,,,5051747791701,"Fan, Electric",2,CH2013,2013,Ceramic,,,,Sealey,,,Portable Heater,Switch,Forced Air/Fan,240 V,,,,"Desk/Tabletop, Floor",Standard,1001-1500 W,Does not apply,White,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lasko 1500W Ceramic Space Heater with Timer and Thermostat, CC13700, Black",49.83, ,"['My Lasko CC13700 was manufactured Feb 2019 Purchased 11/11/19 from a local store. This was made in China where forced labor is documented but Lasko’s Social Responsibility statement addresses that issue: “Lasko and its affiliates will not work with any suppliers that engage in human trafficking and/or slavery.” The CC13700 seemed like it had an unusually strong odor new out of the box while it was heating. The heat was great but using it with the odor in the living area brought some unpleasant upper respiratory irritation and potential health issues that go along with that. After it aired out during the first year, the odor was not as noticeable in a well-ventilated area. At the end of the second season, it began to shut off immediately after turning on. It was under warranty so I sent an email to customer service and got a helpful reply the same evening. The suggestion of blowing air into the unit from the outside was a temporary fix for a few months but the heater eventually stopped blowing heat again so I submitted a warranty request. Due to the Lasko heater breakdown, I bought a new baseboard-style heater (without the chemical odor) before getting the replacement. Lasko Consumer Services stood behind the 3 year warranty. CC13700 was on back order and not available so they offered a different model. I did not have to pay return shipping and received a replacement fan heater within 15 days. It’s great to have to have a new Lasko fan heater, but it reintroduces the same indoor air pollution so I’m using this one away from the bedroom and main living areas to give it a year to air out. Regarding the CC13700 magnetic field, I checked it with a Triaxial ELF Magnetic Field Meter and found that the magnetic field from the motor was almost 48” in all directions, so I kept that in mind to maintain some distance while the heater was in use. The closed design with easy-vacuum filter is a nice innovation compared with open design fan heaters. Weekly filter vacuuming was essential to keep the plastic case cool and AC plug prongs from getting too hot in the outlet. I wish I could give the CC13700 more than 2 stars because it was excellent at putting out heat but apparently it wasn’t built to last. I think a heater should work for 5 years to earn a 5 star rating but this stopped working in less than 2 years. Fortunately there was a 3 year warranty and Lasko handled the warranty replacement very well (but the replacement heater deserves separate review because it is a different product and model number.) If the CC13700 could be repaired and used again, I would be open to editing the review with a higher rating because it was great before it stopped working. This was powerful and it produced instant hot air: I set Automatic Temperature Control about 15 degrees lower than expected to get the desired level of heat. (CC13700 digital temperature at the floor reads lower than other thermometers that I have and since heat rises, it might take several hours to raise floor temperature one degree in a small room, even with the door shut, while temperature 5 feet above the heater may be 10-20 degrees higher than what is shown on the display.) At first I didn’t like the CC13700 because it has an ergonomic design flaw that took awhile to get used to, in which placing the fingers under the carry handle makes it feel like it might be easy to tip over or drop. Regarding the digital controls: Pressing the red On button starts the heater on Hi setting. The 2 left buttons activate Automatic Temperature Control with digital setting range from 39F-90F (which must be set with the heater turned on and running). After selecting temperature, the DIGITAL DISPLAY FLASHES SEVERAL TIMES. IT IS NOT NECESSARY TO DO ANYTHING ELSE AT THAT POINT. Wait for the display to return to indicate the current room temperature and the Automatic Temperature Control should be set.  Automatic Temperature Control seems to have 3 degree temperature window which raises the temperature 2 degrees above the thermostat setting and drops one degree below before resuming operation. AC power interruption resets digital features to factory default. Pressing the middle timer button reveals 9 settings to set the timer between 1-8 hours or continuous. Adjustable louver control for directional heat is a nice feature made possible by the closed design.', 'Ordered 2 heaters,Wanted to send them back because they were way  to small,but I deceived to try them and boy do they heat up,I got so worm I had to kick off the blankets in the middle of the night.For such a small heater they generate a lot of heat.', 'High temp trips my 20 amp breaker. works fine on low', 'heat my bathroom very well love it', 'This product heats the interior of a 36 foot Avion 5th wheel RV when the outside temperature is &gt;30 degrees F. It is safe and reliable.', 'Good', 'I bought this heater to help maintain a constant temperature for my birds. Before this one I tried 3 other kinds. This one is great and does exactly what it says!', ""This item DOES NOT have a safety shut off, if it tips over. I've tested it, laying it down on the front or back DOES NOT shut it off. I thought a shut off was required of all heaters."", 'great product and great price']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",14 in,,1 gal or Less (5 L),3 or Less,,,Less Than 80%,,Electric,2,CC13700,2021,Ceramic,,Coil,,Lasko,Brass,Less Than 2000 BTU,Portable Heater,Digital,Forced Air/Fan,120 V,Lasko CC13700,100 sq ft or Less,Timer,"Baseboard, Floor, Desk/Tabletop",None,1001-1500 W,0046013776396,Black,,Bluetooth,United States,,,,8 hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amazon Alexa,,,2-Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
