Title,Price,Sold,Reviews,Condition,Heating Element Format,Model,Country/Region of Manufacture,Custom Bundle,Item Depth,Item Width,Smart Home Compatibility,Material,Energy Star,Tank Capacity,Power Source,Type,Features,Smart Home Protocol,Timer Control,Color,Year Manufactured,Operating Sound Rating,Energy Efficiency Ratio (EER),Mounting Location,Item Length,Number of Heat Settings,Area Covered,Power,BTU Heating Rating,Brand,Manufacturer Warranty,Control Style,Heating Element Material,EC Range,Heating System,Annual Fuel Utilization Efficiency (AFUE),Voltage,MPN,UPC,Type 1,Air Direction,Time Control,Style,Room Coverage Area,Noise Level,Modified Item,Modification Description,Height,Bundle Description,Manufacturer Color,Width,Cable Length,EAN,Colour,Location,Marke,Herstellernummer,Model Number,Category,Size,ISBN,Refrigerant,Current Rating,Item Height,Country of Origin,Binding,Returns,Package Contents,Normal temperature resistance,Energy Efficiency Rating,Heat Output,Heating Method,Manufacturer,Package,Piece Count,Item Weight,Weight,Depth,Tonnage,Recommended Environment,Finish,Heating Technology,Design,Manufacturer Part Number,ItemWidth,ItemLength,ItemHeight,NumberOfItems,Outside Height,Outside Width,For Use With,Mounting Type,Heater Style,Temperature Range,Plug Type,Power Type,Assembled Product Dimensions (L x W x H),Recommended Location,Assembled Product Weight,manufacturer_part_number,Item Dimensions LxWxH,PackQty,Number of Cool Speeds,Compressor Type,Volts,Item model number,Warranty Description,Assembly Required,Product Dimensions,Material Care Instructions,Batteries Required?,Number of Pieces,Included Components,Heating Wattage,Hight,Bundle Listing,Item Condition,Power (W),Shape,Application,Dimension(ID*H),Power Tolerance,Product Name,Expiration Date,ItemWeight,PackageHeight,PackageLength,PackageWeight,PackageWidth,PartNumber,Heating Element Type,Prop65_fl,Prop65Warning,Safety Features,Restricted States,Item,Includes,Length,Hz,Phase,Cord Length,Amps AC,Manufacturers Warranty Length,Watts,Number of Batteries,NEMA Plug Configuration,Heater Type,Battery Size,Air Temp. Rise,Battery Included,Motor Type,Battery Capacity,Battery Life,Voltage Type,kW,BtuH Output,Voltage Range,Label,ProductGroup,ProductTypeName,Publisher,Studio,CFM,Collection,Heater Controls,Product Width (in),Indoor/Outdoor,Product Height (in),Cord Length (in),Product Depth (in),Amperage (amps),Heating Technology Type,Product Weight (lb),PRICE,USE,Handling Time,RETURNS,Returns and Refund,Quality,SHIPPING,Money Back,Ships From,Perfect For,Satisfaction,Add To Watchlist,Customer Service,International Shipping,We Dont Accept PO BOX,Heating Wire Material,Time Setting,Dimensions,Adjustable temperature,Applicable Area,BTU Cooling Rating,PackageQuantity,SKU,Returnable,Power/Fuel Type,Room Size,Heating Product Type,Area Heated (Sq. Ft.),Wattage (watts),Voltage (volts),sku,Area Heated (Sq Ft),Color Family,Certifications and Listings,Portable Heater Safety Features,Portable Heater Features,Model No.,Number of Bulbs,UL Listed,Rated power
Cozy Products Flat Panel Chicken Coop Heater 200-Watt Walls/Ceilings Mountable,55.42,22 sold,"[""We have made a shelter in our garage for a feral cat that we have been feeding for quite a while. It comes into our garage and goes upstairs to an attic . This heater keeps the little shelter box warm and cozy. It works from radiant heat and does not get hot enough to burn anything so I don't have to be concerned about fires. It doesn't use a lot of electricity and works great!"", 'I would not recommend this product for use in a coop. I bought it to use in a 4\'x6\'x3\' coop and it raised the inside temperature by approximately 10 degrees... not very helpful when the outside temperature averages 10 degrees or less all winter. I tried it in the house first and the temperature sticker (heat sensor) glowed after a few minutes. Once I put it outside, the sticker hasn\'t glowed at all and the chicken\'s water has frozen twice - despite being within inches of the heater. I\'m sure it would be fine for indoor brooding, or even in warmer climates, but if you live ""up north"" where winters are long &amp; cold I would definitely look into something which produces significantly more heat.', ""Great for a small indoor space with not a lot of movement of the air.  It doesn't put out a tremendous amount of heat and can actually be touched without any real discomfort. Would be great for a small chicken coop or a heated animal enclosure (like a dog or cat house) but the switch is not waterproof and neither is the heat panel, so avoid wet situations."", 'Warm safe indoor outdoor type of heater that uses little electricity and since it uses little energy it can also run on a small emergency inverter great peace of mind', 'I have no chickens.....I do have an old house that\'s a 100 years old.....Little drafty in a few places... And, I\'m loving these....The low cost to operate hardly taking any space at all to be used in and just taking a chill out of the air....Well my ""Cock"" is gonna be happy this Winter....', ""easy to use, safe, and doesn't take up a lot of room.  It is however hot to the touch unlike it says!"", 'Works great. Only draws 200 watts. Delivered quickly. Chickens love it.', 'Use it inside for my cockatiel. Note that the bird has to be pretty close (within 5-6 inches) to the for them to feel heat but I am very happy with it. It would work outside with my chickens if they needed it.', ""I won't be running this heater all the time, but there are nights here that go below freezing. I've had chicken's combs freeze before, and it's not pretty. This will keep the coop above freezing, and solve the problem! It mounts on the wall, and it's easy to clean. GREAT product~~~"", 'Amazed, after reading a couple other reviews, but mine arrived intact, and is working perfectly, in some really cold conditions.  I have it in a very small coop, but with -35 temps, it is keeping it fine for my girls!Very happy, so far....knock on wood!']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,CL-COOP,,,,"19 in, 19in.",,Plastic,,,Electric,"Panel, Flat Panel","Thermostat, Outdoor",,,Black,,,,Wall,,2,Large,"200, 200W",,Cozy,,Switch,,,Radiant,,120 V,CL-COOP,0706069235246,,,,,,,,,,,,,,0706069235246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pelonis 1500W Electric Quartz Radiant Heater 3-Heat Settings, PSH20Q3AB Black",58.59, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,PSH20Q3AB,,,8.58,12.99,,Plastic / Metal,,,Electric,Portable Heater,,,,Black,,,,,23.11,3,,,,Pelonis,,,,,Infrared,,120 V,,750545106551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lasko 32"" Ceramic Tower Heater with Remote Control, CT32791",59.99, , ,,,,,,,,,,,,,Tower Heater,"Auto Shut-off, Oscillation, Timer",,,Black,,,,,,,,,,LASKO,,"Push Button, Remote Control",,,,,,CT32791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JESTOP Anti-scalding Bucket Heater-Electric Immersion H2O Heater w/Thermometer , , , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Electric,,,,,does not apply,,,,,,,,,,Does not apply,,,,,,,,does not apply,does not apply,,,,,,,,,,,,,,,,,,,1500w,Water Heaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KING Utility Heater Space Gray Portable Rugged Metal Case Power Indicator Light,58.71,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,KING PUH1215T,,,,7 in,,Ceramic,,,Electric,Portable Heater,Tip-Over Safety Switch,,,Gray,,,,,,2,101-150 sq ft,1001-1500 W,5118,KING,,,,,Forced Air/Fan,,120 V,PUH1215T,093319209820,,,,,,,,,,,,,,Does not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CENSTECH Electric Patio Heater, 1500W Garage Heater w/Remote Control 9H Timer",59.95, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Does not apply,,,,,,,,,,,,,,black,,,,,,,,,,CENSTECH,,,,,,,,Does not apply,750319688610,,,,,,,,,,,,,,,,,,,,,24*5*7 inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELONIS Electric 1500W Oil Filled Radiator Heater with Safety Protection LED ...,58.65,Last item available,"['Good unit, uses low power on economy setting. I place it in front of a fan to move the heat around my room. Good for 100 to 150 square feet or so, anything larger and I would get a more powerful unit. I have never had to go over 75 degrees on the setting and it has a built in thermometer so it will turn off when it reaches the settings temperature. I keep it close to where I use it so no need form the remote though that is a good extra. Also has a built in timer as well. Great little unit for the money!  Would be nice to have more specific temperature settings for thermometer other than increments of 5. But great unit for my room.', ""Great product. Power settings include 1500W and 900W options for quick warm up and then keeping temp at comfort level. Remote control makes it easier to operate. But the best part - it's absolutely quiet, 0(zero) Db! Love it!"", 'Very easy to use and adjust with remote and handle for rolling around.. very quiet and visible temperature gauge for quick ease of sight monitoring. the timer for delayed activiation or duration was easy to use. I would recommend this product to others.', 'No cons, but lots of pros regarding this heater.  I purchased it to keep my 2-car garage above 32 F degrees during the harsh, Wisconsin winters.  It has served its purpose for the past 3 years. I have run it on Hi - 70 degrees to do this, and it has worked well.   It keeps the electric bill down, plus all my recreational toys safe from the freezing temperatures during the winter.  Of course, I follow all of the safety recommendations that include nothing around it for 3ft.  It is dependable, and does the job.  I would recommend this model over all of the no-name models, as PELONIS is an american company who designs their equipment themselves, and ensures that everything is built tough with good materials.', 'My Mom loves it  placed in her bedroomset the controls and slept the night away.easy to assembly and work.  just setthe temp, time and relax the night away.jealous hers has a remote', 'Great Value !!!,... timer set on and off times,... remote control !!!! buy this!!!!save money on utility bills 👍🏻👍🏻👍🏻', ""I love this heater . I bought it for the bathroom. I have it on 65 which is lowest setting. On Eco mode . And my bathroom is 100 percent slate and was very cold cuz the wood burner heat won't reach the bathroom . Now it is very toasty.  The slate is warm to the touch.  I've tried other heaters .. with not much luck.  But I have to say .. this thing works pretty darn good for being on Eco mode .. which is only 600 watts . Highly recommend for a smaller space with door shut !!"", 'It work Perfect what I love is it have a thermostat with digital number set the tempt and it work Perfect in my baseman.', 'This is my third heater I have purchased. Slowly replacing other heaters as they malfunction. Very efficient and safe.', 'This is the second purchase we have made.  We especially like the quiet heater with lots of settings to choose from.  It quickly warms a small room.']","Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Coil,NY1507-14A,,,11 in,11 in,ADT Pulse,,,1 gal or Less (5 L),Electric,Portable Oil Filled Radiator,Timer,Bluetooth,,Silver,2017,None,3 or Less,"Baseboard, Floor, Desk/Tabletop",14.17 in,3,106-167 sq ft,1500 W,Less Than 2000 BTU,Pelonis,,"Switch, Remote Control, Digital, Touch, Analog/Mechanical",Brass,,,Less Than 80%,120 V,NY150714A,0717261787563,,1-Way,,,,,,,,,,,,0717261787563,,,,,,,13.78 x 11.02 x 25.19 inches,0750545104175,HC-12a,10.1-15 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honeywell Ceramic Surround Heater w/ Remote Control Black Thermostat HZ-445R,58.0, , ,,,Honeywell HZ-445,,,,,,Ceramic,,,,,,,,Black,,,,,,,,,,Honeywell,,Remote Control,,,,,,HZ-445R,092926304409,,,,,,,,,,,,,,0092926304409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MR. HEATER 15,000 BTU Radiant Portable Tank Top Propane Heater F242200",57.53,30-day returns,"['Absolutely love this propane heater easy to like easy directions Pull-a ride the box fired it up !!Absolutely amazing how much heat this thing puts out !! It will absolutely keep your hands warm on a cold off days be careful not to touch around the edges of the rim ,  it does get 🥵 hot if you golf on Cold days ...you definitely need one of these z!!', 'Cool product this is my 3rd ', ""I couldn't be happier with this little heater.  Perfect for my deer blind !"", 'very good heater', 'Great product, use oh in deer shooting house', 'Good heater for a small area ', 'Works great, very happy with this heater!', 'Great heater,very powerful,perfect for my needs', 'Heater works perfect', 'was as described']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,United States,,,8.700,,"Aluminum, Chrome, Steel",,,Propane,space-heaters,,,,"Silver, Black, Green",2005,,,,8.100,2,,,,Mr. Heater,,"Dial, Switch",,,,,,F242200,0089301422001,,,,,,,,,,,,,,0089301422001,,,,,,,,,,,12.700,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  EconoHome 400w Wall Mount Smart Space Heater Panel with Heat Guard Cover,59.00,5 watchers, ,,,,,,26.5 x 25.9 x 2.8 inches,26.5 x 25.9 x 2.8 inches,,,,,,,,,,,,,,Wall,26.5 x 25.9 x 2.8 inches,,,,,EconoHome,,,,,,,,Not Applicable,850014890025,,,,,,,,,,,,,,,,,,,,,,,,,,,Tools & Home Improvement,30 Day Money-Back Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heater Heating pad Replacement 110V-220V Printer Heated Thermal Orange,,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Heating Pad,,,,,,Silicone,,,,,,,,As Pictures Show,,,,,,,,1400W,,unbranded,,,,,,,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,400 * 400 * 1.5mm,,,,,,,,Heating Pad,75.63 (Ω),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TEMPCO CSF00009 Heater,240V,12 In. L,1200 Deg F",58.84,7 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Strip,CSF00009,,,,,,Steel,,,Electric,Finned Strip Heaters,,Infrared,,Gray,,,,,,2,,1001-1500 W,,Tempco,,,,,,,240,CSF00123,0094704935478,,,,,,,,,,,,,"10-1/2""",0094704935478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vornado Velocity - 3 Adjustable Thermostat - 1500W Space Heater - Black,58.0, , ,,NA,Vornado Velocity 3,,,NA,NA,,NA,A+++,NA,Electric,Portable Heater,Timer,,,Black,,Standard,NA,Floor,NA,3,201-250 sq ft,1001-1500 W,5000-5999 BTU,Vornado,,Dial,NA,A+++ - G,Forced Air/Fan,Less Than 80%,120 V,EH1-0159-06,043765014516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTC Heater Plate 12V-220V Constant Temperature Element Thermostat Heating Tablet,3.49,60-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Strip,PTC Heater Plate,,,N/A,20mm,,Aluminium,,N/A,--,PTC Heater Plate,PTC Heater Plate,,,----,,N/A,---,---,50mm,1,N/A,----,N/A,Unbranded,,----,Aluminium ( 铝 ),,---,///,---,Does Not Apply,,,,,,,,,,,,,,,,Silver,,,,,,,,,,,,,,,,A+++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GASLAND MHA18B Propane Heater, 18,000 BTU Warm Area up to 450 Sq. Ft, Portable L",75.0, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Ceramic Pannels,,,,,,,"Aluminum, Ceramic, Steel",4 Stars,11-20 gal (39-76 L),Propane,Does not apply,Auto Shut-off,,,Brown,,None,,Floor,,3,401-450 sq ft,,15000-15999 BTU,Does not apply,,Rotary Knob,Ceramic,,gas/ propane,95-100%,Not Electric,,744110092554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18000 British Thermal Units,Radiant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW Mr. Heater MH9BX 9000 BTU Propane Portable Buddy Heater ,59.99, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,Mr. Heater Buddy MH9BX,United States,,,,,Steel,,,Propane,Portable Heater,,,,Multicolor,,,,,,,,,9000-9999 BTU,Mr. Heater,,,,,Heat Pump,,Not Electric,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Click 1000W 5 Fin Oil Heater 3 Power Settings 450W/550W/1000W, ",75.0, , ,New,,OCH515,,,615mm,145mm,,Metal and plastic,,,Oil,Portable Oil Filled Radiator,Tip over safety switch,,,,,,,Floor,315mm,3,10m2,1000W,,Click,,Switch,,,Oil Heater,,240 V,,,,,,,,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat Storm HS-1500-PHX-WIFI Wifi Controlled Wall Mounted Infrared Heater White,, ,"['This wall furnace is made well and works perfect. Select what ever temp you want and when it reaches that it reduces power by 50 %. All automatic. It heats the room over my garage which is all finished and insulated and is 14 x 26. 364 sf. I wouldnt ask 4 anymore than that. Im in the state of Maine. I may need to add another to bring  the temp up quickly but im sure one of these will maintain from that point. For a 104 bucks you cant beat it. Oh and it eather hangs on wall or it has casters you can install. I hung mine and love it.', 'I used this in my insulated 500sq ft garage. Does a great job. In below freezing temps, warms it up to 50 degrees in only one hour. Perfect for just keeping the garage above freezing.', 'I love the WIFI feature and the heat is perfect for my 525sf space', 'I use this heater in a 250 square foot room and it works very well.It was easy to connect to wifi. I would highly recommend it.', 'Had a issue with my unit but they were quick with helping me out and getting things straightened out. Great heater that works amazingly for a great value.', 'Excellent product, easy mounting, works very well for the size', 'These are great little heaters! And at the best price! Looks good hanging on the wall and out of the way. Perfect for a bathroom.', ""i use 2 of these to warm a 2.5 car garage . it does a nice job , quiet , remote control  . temps in NY are in the 30's"", 'It’s a great little heater I put in my fish house/Camper! The remote works awesome too I couldn’t be happy would definitely recommend!', 'This is a great product for the value. Works flawless with my echo and heats up my bathroom perfectly. I would definitely recommend this product.']",,,HS-1500-PHX-WIFI,,,,15.980,,Plastic,,,Electric,"Unit Heater, Infrared","Safe to Touch Grill, Wall Mounte, Indoor, Space saving Wall Mount",Wi-Fi,,White,,,,Wall,22.010,2,,1500 W,,Heat Storm,,"Switch, Wi-Fi, Touch",,,Infrared,,,"HS-1500-PHX-WIFI, HS-1500-PHX",0726084376069,,,,,,,,,,,,,,,,,,,HS-1500-PHX-WIFI,,,,,,7.480,,,,,,,,,Heat Storm,Used missing control and legs but can still be hung.,1,10.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
