Title,Price,Sold,Reviews,Condition,Item Depth,Item Width,Energy Efficiency Rating,Tank Capacity,Operating Sound Rating,Energy Efficiency Ratio (EER),Item Length,EC Range,Annual Fuel Utilization Efficiency (AFUE),EAN,Power Source,Number of Heat Settings,MPN,Material,Heating Element Format,Colour,Brand,Heating Element Material,BTU Heating Rating,Type,Control Style,Heating System,Voltage,Model,Area Covered,Features,Mounting Location,Power,Year Manufactured,Country/Region of Manufacture,Manufacturer Warranty,Energy Star,Color,Custom Bundle,Height,UPC,Timer Control,Air Direction,Cable Length,Tonnage,Smart Home Protocol,Power (W),Manufacturer Part Number,Heating Method,Heat Output,Compressive strength,Power deviation,Cable length,Manufacturer Color,Heating Technology,Current Rating,Assembled Depth (in),Color/Finish,Patio Heater Type,Assembly Required,Assembled Height (in),Total BTU,Wattage (watts),Cord Length (ft),Color Family,Heating Area (sq ft),Outdoor Living Product Type,Fuel Type,Assembled Width (in),Housing Material,Pack Size,Voltage (volts),Product Weight (lb),ISBN,Size,Room Coverage Area,Heating Wattage,Time Control,Refrigerant,Smart Home Compatibility,Room Size,Indoor/Outdoor,Portable Heater Features,Amperage (amps),Area Heated (Sq Ft),Product Depth (in),Heater Controls,Power/Fuel Type,Heater Type,Portable Heater Safety Features,Product Height (in),Cord Length (in),Product Width (in),Number of Items in Set,Firmness,Product,Department,Mount Type,Style,Room,Assembly Status,Set Includes,Weight,Heating Technology Type,Heating Product Type,Area Heated (Sq. Ft.),Suitable for Safe Rooms,Warranty,Wattage,Application,Certifications,Clearance,Maintained Operational Temperature,Recommended Environment,Remote Control,Product Type,Number of Burners,Is Electric,Assembled Product Dimensions (L x W x H),Count Per Pack,Count,Gender,Price Per Unit UOM,Variant Attribute Names,Number of Shelves,PPU Quantity of Units,Manufacturer,Age Group,Is Portable,Recommended Room,Piece Count,Multipack Quantity,Is Assembly Required,Power Type,Product Name,Home Decor Style,Seating Capacity,Number of Drawers,Global Brand License,Theme,Watts,Depth,Baseboard Heating Type,Certifications and Listings,Hydronic,Product Length (in),Thermostat,Vented,Heat rating (BTU/hour),Thickness,SHIPPING,RETURN,ITEM LOCATION,International buyers,Heating BTU,Location,Bundle Description,Item Height,Heater Style,Original/Facsimile,Author,Voltage / Wattage / Amperage,Poultry Species,Hatching Egg Breed,Built In Thermostat,Clearance to Combustible Materials,Product Color / Weight,Product Dimensions,Programmable Timer,Remote Control / In-Cord Switch,RESTOCK FEE,Item Weight,Power consumption,Product weight,Heater type,Fins width,Package includes,Oil volume,Power supply,Indoor/outdoor,Item model number,Batteries Required?,Country of Origin,Item Dimensions LxWxH,Number of Pieces,Included Components,Modified Item,sku,ProductType,Prop65_fl,Prop65Warning,ProductGroup,ProductTypeName,Recommended Location,Assembled Product Weight,SKU,Form Factor,Heating Element,Maximum Heat Power,Product Model,Timer,Noise Level,Number in Pack,Handling Time,Shipping,Satisfaction,Customer Service,International Shipping,Returns,Note,Assembled Height (Inches),Color/Finish Family,Heat Type,Cord Length (Inches),Use Location,Current Rating (Amps),Assembled Depth (Inches),Cool-Touch Housing,Tip-Over Safety Switch,Safety Listing,Design,Maximum Wattage,Display Type,Lowe's Exclusive,Control Type,Oscillation,ALCI Safety Plug,Energy Saving Setting,Maximum BTUs,Overheat Shut-Off,Manufacturer Color/Finish,Anti-Freeze Setting,Remote Control Included,Portable,Assembled Width (Inches),Supplemental Heating Area,Package Quantity,Series Name,CA Residents: Prop 65 Warning(s),Bundle Listing,Model No.,Accessory Type,Resistance Properties,Brand compatible,Cod. ETCO,Mark,UPC/GTIN Code,Mor Electric Heating SKU,Application/Usage,Area Coverage,Input Current,Input Voltage,Weight (Approximate),Actual Color,Feature,Origin,Patio Heaters Type,Binding,Studio,Publisher,PackageQuantity,NumberOfItems,Label,PackQty,Batteries Required,item_width,Max Weight Recommendation,item_length,Use,Price,Seller,Service,USA Shipping,Customer service,Shipping Exclusions,Number Of Heat Settings,OutOfStockControl,Width,ProductReferenceID,Length,Minimum Heat Power,Product Family,Product Line,Gift,Temperature,Heating power,Waterproof rating,PartNumber,Volume,Warranty Description,Import Designation,Finish Types,Is Discontinued By Manufacturer,Batteries,Material Care Instructions
Ceiling Space Heater 500 Watt 120 Volt 2 Infrared Bulb Radiant Heat Unvented New,75.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",6 in,,,,,,,,1,,"Fan, Electric",1,,"Chrome, Steel",,,Broan,Steel,4437,Infrared Bulb Heater,Switch,Infrared,120 V,Broan 163,851-900 sq ft,,Wall,201-300 W,2021,,,,White,,,0026715002610,,1-Way,,,Infrared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lasko Ceramic Adjustable Thermostat Space Heaters, 754200 Silver",78.17,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,0711181029994,Corded Electric,,,,,,Does not apply,,,Does not apply,,,,,,,,,,,,,754200 Silver,,,711181029994,,,,,,,,"Forced Air, Convection",,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 x 3.7 x 9.2 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orpat OCH 1270 Twin Turbo Design Climate Control Portable Convector Room Heater ,, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",16 in,23 Cm Approx,,As per use,Standard,Mention on pack,36 Cm Approx,A+++ - D,Less Than 80%,,Electric,2,Does Not Apply,Metal,Strip,,Orpat,Brass,Less Than 2000 BTU,Convector Heater,"Digital, Remote Control",Radiant,240 V,OCH 1270,201-250 sq ft,Oscillation,Floor,1000 W & 2000 W,,India,,A+,Black,No,18 Cm Approx,Does not apply,,,,,Infrared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600 Gram Approx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceramic Space Tower Heater with Timer 950W/1500W Electric Portable Heater wit...,78.63, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,Does not apply,,,Does not apply,,,,TEKcians,,,,,,,Does not apply,,,,,,,,,Tall,,,677222644437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0677222644437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat Storm Infrared Heater and Tripod Combo TT-R HS-1500-TT-R,75.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,,,,,Heat Storm,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ceramic Space Tower Heater with Timer, 950W/1500W Electric Portable Heater ",79.1,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,Does Not Apply,,,Does Not Apply,,,,Does Not Apply,,,,,,,GD9215AD16,,,,,,,,,Tall,,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kitchen,SPACE_HEATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1500W Ceramic Tower Space Heater with Remote, CT22410, Black",75.65,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,DOES NOT APPLY,,,CT22410,,,,Lasko,,,,,,,CT22410,,,,,,,,,,,,DOES NOT APPLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dayton,Model 53Ty90,Portable Electric Heater,120V,1500 Watts, 12.5 Amps, 1 Phase",75.99, , ,,6.600,6.600,,,,,15.500,,,,"N/A, Oil Filled Heater, Electric",3,53TY90,Ceramic,,,DAYTON,,,Portable Heater,Switch,Radiant,120 V,53TY90,,"Keep your work area warm and cozy with the Dayton 1500-Watt Elect, such as garages, workshops, basements and more. There is no need to worry about safety as it, the heater is perfect for industrial applications that require a, the heater will automatically shut itself off to avoid overheatin, it is a safe option for your indoor environment.",Floor,,,CN,1 year,,N/A,No,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.600,,15.500,,,,,,,,,,,,,,,
Electric Ceramic Home Space Heaters with thermostat Space Use for Indoo/Room New,100.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Electric,,,Ceramic,,,Best,,,,,,,,,,,,,,,,,,,360846795202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW Lasko 3PL 6435 Designer Oscillating Ceramic Heater Convection RC Tower,75.98, ,"[""This is the 3rd purchase of the same heater.  1st for one of my sons, 2nd for my boss and 3rd to replace a noisy old heater at my desk.  Not only does it produce heat well but it is also is aesthetically pleasing in an office setting.  Those points combined with many levels of heat to chose from and a remote control feature to boot...perfection!!  Three purchases and each for less than $60...it's a winner!!"", ""The reason I wanted this heater was I needed supplemental heat to my daughters room which is the furthest from the central heating system and surrounded by three ouside walls. Have been using a small oscillating ceramic heater for a couple years, but not thermostat controlled. Love the Lasko, cause it heats room evenly and quickly! Love that it does shut down when it get's up to the right temp. I would reccomend this heater to anyone. You can not however use thermostat control on LO setting. Only on High. Also like the overall appearance of it. Nice product!"", 'It would be great if it would operate in Automatic via the Thermostat on Low. It will not though as it will default to Max and if you set a temperature it reverts back to High mode which blows my Breaker! A nice design with a great oscillation feature. If you can run it on High which draws 12-14 Amps then it will work well for you! Why they disable temperature controlled operation in Low mode is baffling to me! ', 'This heater is a pretty good source of additional warmth where you need it. You may get tired of people asking you what it is though... It will not heat an entire home, but in my 22x28 living room, it does a pretty good job warming things up. Quiet and pretty. The remote works great, (even though it is almost as weird of a shape as the heater).', ""The heater is very dependable , I've had one for 1 year now. I have purchased two additional for other rooms. These units do the job of heating rooms well. They're very fashionable convenient."", 'first off gotta say this heater warms a medium size room very fast..and very wellalso easy to operate. only problem is the heater is very noise. looked over the reviewspeople said very quit very little sound NOT true loud fan and when oscillating is onmakes a verroom verroom sound [ best way to describe it]  gonna need to get out theear plugs gave it four stars for its heating', ""This little heater is great for taking the chill out of the air. My cottage is under 1000 ft, and the kitchen and living room are open to each other and I typically keep the temp at 66-68 24x7. Because of that vast space I originally had my doubts but now that I have used it for a week, it does a great job. It definately raises the temp a few degress which makes a big difference for me. (Don't rely on this heater being your main source of heat but rather as a supplement)."", ""expertbenefitsI haven't had it too long but it fits my purpose. I have central hearing but being an older place that I just got and having colder weather than usual, it just wasn't enough.  I have used it mostly for showers inn one bathroom and have an e-heater in the other one so I am all set. I like that this is portable so that I can move it around. It has a good range of settings, changes quickly. I actually read about it in Consumer Reports and looked on eBay so I got it.  The stand keeps it stable. It kind of cute too!"", 'I like the design of the heater very much and it certainly has enough output to heat what I intended it for.  I also like the features that it offers.  The only thing that I wish it did and it does not do is turn back on when the thermostat goes below what it is set at as well as turn off when it reaches the temperature.  All in all though, it is a good value and I have been pleased with it.', ""Granted it's not more than 1000 square feet, but this pretty little heater sits in the center of my house and keeps the whole house comfortable.  It has a thermostat,  (only 5 degree increments) but still will save me money by shutting off when the room is warm enough.  It has a convenient remote control.  First time I used it I smelled some electrical burning sent.  It only lasted a little while.  Seems fine now.""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,0046013762207,Electric,,6435,,,,Lasko 3PL,,,Convection Heater,,,,6435,,,,,,,,,,,,046013762207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Convection Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6435,,Ceramic,1500 W,6435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900 W,Designer,Designer,,,,,,,,,,,,
"Honeywell Energy Smart 1,500 Watt Electric Radiator Heater - Black",80.0,30-day returns,"['Bishop : Holloman    First of all, Thank you for the fast delivery..Second, The Electric Radiator heater worked perfect.I also loved the timer, and the great heat settings.It made my bedroom very warm, And it also made my Den-office warm enough for studying!I spend more time in my den ( for Bible Study ) apart from any other part of my house,And therefor it must be kept hot or warm because not like most people I like being hot.I recommend this type of  Electric Radiator heater to anyone who needs a hot or warm roomAnd also because of its timer.', 'Perfect to chase away the cook morning chill and the winter cold in a confined area.  No need to turn on the furnace and heat the whole house when you just need a small area warmed up.  I have two of these, one for the breakfast area and one for the master bedroom bath.', ""Love it, doesn't tick or hum. I am a very light sleeper, and the cheaper heaters wake me up. Not this one. I also like the timer function, so I do not forget to turn it off."", 'I had one of these for years in my home office. Now we purchased a second one for the master bedroom in our new home. They are quiet, safe, energy and budget smart. Most importantly, they heat the room quickly.  Thank you, Honeywell, for a well engineered device.', 'This is a good heater for small or large rooms. They are well made, efficient and not too bulky or troublesome to move around, look good too. Thanks', 'works as  described follow directions everything falls into place. nicely packaged for weather.i dont see any faults with it.  it does heat the room once it gets to desired setting.', 'I have it in an 8x21 sun room and it takes it a while to warm it to a comfortable temperature. In the day time, it is hard to see the setting due to the poor lighting on the temperature.', 'Excellent way to heat.  Cost effective.  One flaw is that there is a ""tip-over shut-off switch"" that won\'t reset if the unit is knocked over rendering it useless thereafter.  I have owned 8 units before and two went forever inop.  None-the-less, I will continue buying this heater.', 'Save time here.....just got it a few weeks ago, so a bit early to really tell.  Seems fine so far... ;-)', 'Lightweight. Does the job. No oil spil danger compared to oil-based radiators.  On the negative side, there is some noise from the fan.  But it is not loud. ']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",11.4”,"14.3""",,,None,3 or Less,14.3”,,Less Than 80%,,Electric,3,HZ789,"Aluminum, Brass, Ceramic, Chrome, Steel",Coil,,Honeywell,Brass,5000-5999 BTU,Room Heater,Digital,Radiant,120 V,HZ-789,100 sq ft or Less,"Programmable Thermostat, Auto-Off Timer, Energy Usage Indicator, EnergySmart technology, Large, easy-pull luggage style handle, Easy glide wheels",Floor,1500W,2000,,,,Black,,,,,,100 sq ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lorell 33558 17""  Tower Convection Heater, Black",78.13, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,0313099536566,,,Does Not Apply,,,,Unknown,,,Does not apply,,,,Does Not Apply,,,,,,,,,Does Not Apply,,,705353271083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lorell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vornado ATH1 Whole Room Tower Heater with Automatic Climate Control, Black",75.0, ,"['Just received. Looks new. Works perfect. No visible wear. Better than I was expecting', 'Good heater, just a bit finicky with the temp settings.', 'Works nice, better than the tower heaters from wally world for sure.', 'Great Little 120V heater that works great &amp; does not dominate the room by taking up a lot of room.  Thanks.. pc', 'Good product very effective for its size']","Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,,,,,,,,,,Electric,2,EH1-0067-06,,,,Vornado,,,Tower Heater,"Switch, Touch",,120 V,Vornado ATH1,,Oscillation,,,,,,,Black,,,0043765006795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPACE_HEATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orpat OCH 1270 Twin Turbo Design Climate Control Portable Convector Room Heater,,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",16 in,23 Cm Approx,,As per use,Standard,Mention on pack,36 Cm Approx,A+++ - D,Less Than 80%,,Electric,2,Does Not Apply,Metal,Strip,,Orpat,Brass,Less Than 2000 BTU,Convector Heater,"Digital, Remote Control",Radiant,240 V,OCH 1270,201-250 sq ft,Oscillation,Floor,1000 W & 2000 W,,India,,A+,Black,No,18 Cm Approx,Does not apply,,,,,Infrared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600 Gram Approx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Space Heater Portable Electric 1500W PTC Fast Heating Indoor Ceramic Oscillat...,75.67,30-day returns, ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,,,,,,,,,Does not apply,,,Does not apply,,,,PARIS RHÔNE,,,,,,,Does not apply,,,,,,,,,Black,,,719710495562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0719710495562,18 inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Living Glow Infrared Fireplace Heater NoRemote,75.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",6.8,,,N/A,N/A,N/A,14,,N/A,,Electric,Variable,N/A,,,,Living Glow,Unknown,,,,Infrared,,Infrared Stove Heater,,,Cabinet,1001-1500 W,,,,,Black,No,,,Variable,,N/A,N/A,Infrared,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OPTIMUS H-7234 Optimus 18-Inch 750-Watt/1,500-Watt Oscillating Ceramic Tower ...",79.93,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,H-7234,,,,OPTIMUS,,,,,,,H-7234,,,,,,,,,,,,630326172343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500W Quartz Radiant Electric Space Heater Tip Over Switch High Low Setting,75.52, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,Does not Apply,Electric,2,CZQTV007,Steel,,,Comfort Zone,,,Portable Heater,,Radiant,120,,,,Baseboard,,,,,,,,,Does not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
