Title,Price,Sold,Reviews,Condition,Brand,Power Source,Type,Heating System,Mounting Location,Colour,Material,Number of Heat Settings,Control Style,Model,Voltage,Features,Energy Efficiency Rating,Power,Heating Element Format,Heating Element Material,Annual Fuel Utilization Efficiency (AFUE),Operating Sound Rating,BTU Heating Rating,Area Covered,Item Width,MPN,Energy Efficiency Ratio (EER),Item Depth,Item Length,Tank Capacity,EC Range,Item Height,Item Dimensions,Colormap,Product Type,EAN,Compressive strength,Power deviation,Cable length,Color,Location,UPC,Country/Region of Manufacture,Timer Control,Smart Home Protocol,Shape,Mounting,Modified Item,Modification Description,Item Weight,Indoor/Outdoor,Heat Range Diameter,Fuel Type,Custom Bundle,Bundle Description,Assembly Required,Size,Style,Year Manufactured,Cable Length,Manufacturer Part Number,ItemWidth,ItemLength,ItemHeight,Energy Star,Room Size,Product Depth (in),Portable Heater Features,Wattage (watts),Color Family,Area Heated (Sq Ft),Heater Controls,Heater Type,Product Width (in),Amperage (amps),Certifications and Listings,Portable Heater Safety Features,Product Height (in),Cord Length (in),Voltage (volts),Power/Fuel Type,Product Weight (lb),ISBN,Refrigerant,Air Direction,Heating Method,Item Dimensions LxWxH,Smart Home Compatibility,Manufacturer Warranty,Tonnage,PRICE,USE,Handling Time,RETURNS,Returns and Refund,Quality,SHIPPING,Money Back,Ships From,Perfect For,Satisfaction,Add To Watchlist,Customer Service,International Shipping,We Dont Accept PO BOX,Heating Wattage,Heater Style,Recommended Environment,Time Control,Room Coverage Area,Noise Level,Manufacturer Color,Height,Width,Assembled Product Dimensions (L x W x H),Power Type,Recommended Location,Assembled Product Weight,Manufacturer,Product Name,Thickness,Heating Product Type,Heating Technology Type,Heat Output,Heat rating (BTU/hour),Pack Size,ITEM HEIGHT,Current Rating,Global Brand License,Home Decor Style,Is Electric,Is Pet Friendly,Theme,Price Per Unit UOM,Count Per Pack,Finish,Number of Burners,Seating Capacity,Is Portable,Number of Drawers,Recommended Room,Count,Age Group,Color Category,Recommended Use,Gender,Actual Color,PPU Quantity of Units,Number of Shelves,Piece Count,Mount Type,Multipack Quantity,Is Powered,Maximum Room Size,Heating Element Type,Cord Length,Plug Type,SKU,Country of Origin,Depth,Form Factor,Input Voltage,Maximum Heat Power,Product Model,Timer,Weight (Approximate),Resistance Properties,Protection Properties,PackQty,Power (W),Oscillating / Non-Oscillating,Phase,Amps AC,kW,NEMA Plug Configuration,Manufacturers Warranty Length,BtuH Output,Safety Features,Hz,NumberOfItems,Watts,BTU Cooling Rating,Number of Cool Speeds,ProductType,Prop65_fl,Prop65Warning,Compressor Type,Origin,Certification,Model Number,Assembled Depth (in),Color/Finish,Patio Heater Type,Assembled Height (in),Heating Area (sq ft),Total BTU,Housing Material,Assembled Width (in),Outdoor Living Product Type,Gift,Shipping,Binding,Studio,Publisher,ProductTypeName,ProductGroup,PackageQuantity,Label,Item model number,Warranty Description,Product Dimensions,Batteries Required?,Length,Is Discontinued By Manufacturer,Heating power,Waterproof rating,manufacturer_part_number,Model No.,Product,Size Type,Bundle Listing,Heating BTU,Batteries Required,package_length,Pattern Name,Cooling Method,Restricted States,Item,Includes,Weight,For Use With,Number of Batteries,Battery Size,Battery Included,Motor Type,Battery Capacity,Battery Life,Voltage Type,Voltage Range,Volume,Import Designation,Department,Finish Types,Number of Pieces,Included Components,item_width,item_length,Compatible Brand,Compatible Model,Connectivity,Stove Type Compatibility,Installation,Memory Card(s) Supported,Playable Media Format,Maximum Magnification,Fan,Heat Settings,Its for,Unit Quantity,Return,Bulb Type,Mount Location,Tax,Number of Elements,Product Length (in),Package,Prop 65,Overall Width,Collection,TAX,Returns,Handling Time:,Questions,ASIN,Thermostat,Baseboard Heating Type,Hydronic,Vented
"Mr. Heater F242300 15,000 BTU Portable Sunflower Radiant Propane Heater / Cooker",81.45,30-day returns,"['I just replaced this unit after my other unit failed after 40 years.  Most products don’t make it 4 years.  I use it ice fishing for warm lunches, in the ice hut for warmth, tent while hunting for a quick morning coffee and in my truck emergency provisions for driving and living in the high Colorado mountains.  As with any propane product, always properly ventilate and don’t fall asleep while in use.', ""Just used it once briefly and seemed to light easily and generate solid radiant heat for a 1lb cylinder heater.  Nice to have the convertible stand for cooking too but haven't tried that and may not."", 'Got this to heat my ice fishing shelter.. It works great and the three settings make it easy to regulated the temperature', ""We bought this heater for our grandson to use in his deer blind. We have several of these and I and my wife set together in a pop-up blind in any weather and have nothing bad to say about this heater. It allows us to cook lunch make coffee and tea which makes for memorable occasion's.I have had issues in the past with this heater and moisture in the propane hose, I use a Mr. Heater in line filter and have eliminated the problem. this is not and isolated issue with this heater as Mr. Heater recommends the inline filter with the big buddy heater which also works to keep moisture out of the propane line."", ""I have been looking for a decent little heater for my hunting blind. The fact that this one only cost me $36. and that it doubles as a cooker compelled me to try it out. I have only tested it at home but it seems to perform as described and I'm confident it will do the job I bought it for. "", 'I like the fact it heats and can also cook on it boils water fast', 'works great. i use a twenty pound bulk tank with hose but ponnd bottles are fine. ', ""Heater/ cooker works well.  Easy and puts out a good amount of heat.  Kinda large if your using for camping, and don't have a lot of packing room.  Being able to use it as a stove is a bonus.   I purchased this one and the one that attached to the larger propane tanks. Both were worth the price."", 'works great just might have to get another', 'This little heater is quick and easy to set up. A small propane canister will give you lots of heat for about 3 hours on high or 4-5hours on low setting. Great buy!!!']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Mr. Heater,Propane,Portable Heater,Radiant,,,,1,Dial,MH15C,,Auto Shut-Off,,,,,,,15000-15999 BTU,351-400 sq ft,,F242300,,,,,,,,,,0089301423008,,,,Silver,,0089301423008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brentwood 1500 Watt Ceramic Oscillating Fan Heater,80.98,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Brentwood,Electric,Space Heaters,Convection,Desk/Tabletop,,Ceramic,2,"Touch, Analog/Mechanical, Dial",H-C1600,120 V,,,1001-1500 W,,,Less Than 80%,Standard,,,NA,HC1600,,,,,,,,,,0812330022092,,,,Black,,0812330022092,,,,,,,,,,,,,,,,Home Improvement,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEGA-H-C1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heater, , , ,,Unbranded,,,,,,,,Rotary Knob,,,,,,,,,,"30,000",,,,,,,,,,,,,,,,,brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dayton 3Ug80 72"" Electric Baseboard Heater, White, 1500W, 120V",80.75,60-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Dayton,Electric,Baseboard Heater,,"Wall, Cabinet",,Steel,1,,Dayton 3UG80,120 V,"Electric Baseboard Heater, Overall Depth 2 7/8 in, Overall Height 6 3/4 in, Overall Length 72 in, Duty Rating Residential Grade, Heating Method Convection, Key Features Overheat Protection, Programming Capability Not Programmable, Remote Control Functions No Remote Control Included, Setback Control No, Smart Connectivity No Connectivity, Tamper Resistant No, Thermal Overheat Protection Automatic Reset, Thermostat Included No, Voltage 120V AC, Wattage Output 1500W, Housing Color White",,,,,,,,,75.200,3UG80,,75.200,3.300,,,,,,,0190735294123,,,,White,,190735294123,US,,,,,,,,,,,No,No,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 year,,,,,,,,,,,,,,,,,,,,,,,,,75.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.300,,,,,,,,,,,,,,,,,14,,N/A,N/A,No,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Heater 9000-BTU Indoor Safe Garage Camping Portable Radiant Propane Heater,,5 watchers,"[""It came quickly, took it out of the box, added a bottle oed it upf propane and fired it up. Put it in my 5th wheel camper with the temperature 30 degrees inside, set it on high and 1 hour later the whole inside was 64 degrees. With everything being 30 degree that's excellent !"", 'Easy to use.  Love the portability, and it really throws out some heat!', ""I checked it out and it works just fine won't know much more until fall in deer season       yours truly Lonnie McClenic"", 'Pretty much the ""only"" indoor propane heater at a super-reasonable price. the thermocouple and pilot assemblies can go out on them, but for under $100, sometimes under $60, used, i just keep replacing the the whole unit... \'store\' them in a plastic bag during the \'off-months\' so that spiders dont invade the pilot tubing...', 'This heater is worth every penny. Great backup heater. ', 'very good!!', 'Work great! Uses alot of fuel.', 'Great heater', 'Great heater, is keeping me warm while hunting', ""Perfect heater for camping .l'm wel pleased with it  ""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Mr. Heater,Propane,Portable Heater,Radiant,Wall,,,Variable,"Rotary Knob, Switch",F232020,Not Electric,"Portable, Oxygen Depletion Sensor",,,,,,Minimal,9000-9999 BTU,201-250 sq ft,13.4in.,F232020,,,7.7in.,,,,,,,,,,,Red,,0089301320208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eden Pure Quartz Infrared Portable Heater Heater Model 500 120 V, AC 60HZ, 750 W",84.99, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Eden Pure,Electric,Portable Heater,Infrared,Floor,,,,,500,120 V,,,701-800 W,,Copper,,,,,,Does not apply,,,,,,,,,,,,,,Black,,Does not apply,Vietnam,,,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Compact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fahrenheat Remote Control Electric Fan Forced Garage Heater - FLCH4R,215.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Fahrenheat,"Electric, Fan",garage heater,Forced Air/Fan,suspended,,metal,,Remote Control,FLCH4R,208/240 V,automatic fan delay,,4001-4500 W,,,,,,up to 480 sq ft,,FLCH4R,,,,,,,,,,,,,,Black,Garage,685360164861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DIMPLEX60 in, Residential Grade, Electric Baseboard Heater, 1500W, 120V AC,...",85.0, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Dimplex,Electric,Baseboard Heater,,,,,,,,120 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyna-Glo Portable Heater 50K-80K-BTU Convection Propane Tower New ,84.95, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Dyna-Glo,Propane,Portable Heater,Convection,,,,,,Dyna-Glo 50K-80K-BTU,,,,,,,,,,,,,,,,,,,,,,,,,,Silver,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mr heater 23in infrared electric logset,80.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Mr. Heater,Electric,,,,,,,,,,,,,,,,,,,23 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lifeplus Best Comfort 1500-Watt 120-Volt Quartz Heater GD9315BCW-J,84.99, ,"[""it's putting off great heat and has seamimgly reduced our heat bill. Will know more after a couple of months. In any event, it is keeping up warm"", 'Perfect small compact unit for three season room great value quick shipment as well', 'GOOD PRODUCT FOR A GOOD PRICE', 'I have 3 heaters and they are the best.', 'Small but efficient', 'Supplemental heating only.']",,ProFusion Heat,Electric,electric-space-heaters,Infrared,Cabinet,,,3,,GD9315BCW-2J,120 V,,,1500W,,,,,5100,,15.100,GD9315BCW-3J,,,18.800,,,,,,,,,,,Brown,,0674465004301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original Infrared Portable Space Heater with Dual Heating System 1500-Watt ,81.0, ,"[""Pros-outside of unit not hot if you touch it.it's on wheels, cycles on to adjust set temperature, has a remote, has a timer, safety switches ( temp &amp; if it tips over ). Youtube videos on how to repair unit, parts available. Looks nice, immediate heat, does not deplete oxygen like a ceramic heater, you can breath easily.Cons- 1500 watts &amp; 12.5 amps power used. Monitor it when you first use it, a weak or bad electrical receptacle can arc! Your plug or power cord could melt or burn. The risk always exists when you use it. I use to do electrician work long ago, be mindful.Read all instructions thoroughly and completely! DO NOT LEAVE UNATTENDED! I still like to use this heater, in fact I own two of them. Follow all safety warnings, it can be a good heater, don't let your guard down.....be vigilant, be safe, and stay warm. I watch TV with one keeping me warm, and happy."", ""Impressed with quality and many features like holding heat level economically, auto dual fan speeds, easy reading temperature, easy set up and great looking unit. Doesn't even look like a heater, more like a piece of furniture or a speaker for a high end stereo system."", 'I hen purchase several brands of infrared heaters .   Dr. Heater is built solid .  Purchased my last one in 2013.   Warranty is unsurpassed with 3 years .  Most heaters just won’t last .  Also puts our more heat output than a comparable EdenPure .   Good value and great  quality .', 'It is a hybrid infrared.  60% of the heat comes from a relatively new PTC heater.  40% comes from infrared.  It heats the air and objects in the room at the same time.  I have a small home of 1250 sq. ft.  I have three of these heaters at various places and have been able to shut my gas furnace down entirely.  Since they are very stingy on electricity, my monthly heating bill is now much less than it used to be!  I would recommend this heater to anyone without hesitation!', 'My Dr 968 1500 watt heater produces heat rapidly and cycles on and off to keep the temp where it is set.  This small unit has a fan that is barely audible and manages to push the heat away from the heat elements into the room and keep the area comfortable.  Lots of heat in a small package.', 'Well-built unit. Small, unobtrusive, and quiet. Easy to use with control panel or remote control, and the built-in thermostat works as it should. A nice feature is that the unit is on wheels so makes it easy to roll out of the way when cleaning and vacuuming. Takes the chill off my small place quite nicely. Great to use during those in-between seasons before or after you shut down or turn on the heating system. I am very satisfied with this product!', 'I have read a great deal of reviews from others before my first purchase. I have other brand spot heaters in my collection. Trial by error I suppose. Colorado Winters can be brutal at times. I purchased this for my mothers not well insulated home. a living room and a kitchen connected, 630 sq ft. this heater will keep it at a comfortable temp. for her. All at a low setting.Shuts off as it should to measure the heat in the room and comes back on when it needs to.It is supplemental. It will not heat a whole home.My unit arrived with a cracked frame on the top left corner. It works though, that is my main concern.Stays on five hours as i programmed and shuts off. Good Bang for the Buck. 5200 BTU is a great output for this size The fan is quiet when running. You can watch t.v. without noticing the heater on.In my opinion, if these units are used wisely, they are useful and can save a bit of money on your bill. Thumbs up on this unit.........', ""I bought this to use in a bedroom because it was advertised as quiet, and it came with a remote.  It's not that quiet- just a little quieter than your average cheapo space heater.  And the remote doesn't power the heater on or off- just lets the unit go on standby, which is kind of a drag.  The standby light is so bright i wound up covering it with a piece of paper.  Except for the remote, it's not worth the money."", 'Despite the fact that the first heater stopped working after 4 years I purchased another, Reasons: great features, heats area very well, low cost to operate, compact and easy to move around', ""Product arrived extremely quickly.  I'm using it in a sun-room to keep the temperatures steady for two parrots.  Am not able to determine if I am saving money on this product or not running it continuously versus other types of heating methods.  Product works well - happy so far.""]","Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ","Dr. Heater, Dr Infrared Heater",Electric,"Infrared, Electric Portable Heater",Infrared,"Portable, Garage, Garage Cabinet, Cabinet",,Wood,13,"Touch,Digital,Switch,Remote Control, Thermostat, Switch, Remote Control, Digital, Touch, Remote Control,Touch","DR968, Dr. Infrared Heater DR-968H",110 V,"Handle, Timer, Wheels,Thermostat,Remote Control,Timer, Thermostat,Timer, Handle,Digital Display,Timer,Automatic Shutoff,Tip-Over Safety Switch,Thermostat, Cool Touch, Forced Air, Humidifier, Portable,Quiet,Dual Settings, Quartz, Portable,Cool Touch,Floor Mount,Forced Air, Automatic Shutoff,Thermostat, Remote Control, Heater, Floor Mount, Indoor, Portable, Digital Display, Wheels, Heating, Tip-Over Safety Switch, Quiet, Portable,Quartz, Dual Settings, Remote Control,Thermostat,Timer,Wheels",,1500W,,,,Low,,,12 in,DR968,,,,,,,,,,,,,,"Red, Brown, Brown,Red,Black, Red,Brown,Black, Black",,0837654715666,,12 Hours,Infrared,,,,,,Indoor,,,,,,,,,,,,,,,Medium,13 in,"Digital Display,Energy-Saving Modes,Portable,Remote Control,Therm",1500,Browns / Tans,400,Pushbutton,Quartz,12 in,,UL Listed,"Auto Shut Off,Tip-Over Safety Switch",16 in,,,Electric,24 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free Shipping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 Days,Other,Freestanding,No tax,1,15 in,,,,,,,,,,,,,
Space Heater 1500-Watt Oil-Filled Radiator Electric Heating Digital Display,82.26,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",comfort zone,"Oil, Electric",Portable Oil Filled Radiator,,Floor,,Steel,,Digital,Comfort Zone CZ9010,120 V,,,1001-1500 W,,,,,,,,CZ9010BK,,,,,,,,,,0075877209702,,,,Black,,0075877209702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Powerzone watts Utility Style Heater,83.22,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unknown,Electric,Unit Heater,Forced Air/Fan,Desk/Tabletop,,N/A,3,Dial,Does not apply,120 V,Overheat safety protection,,1001-1500 W,Strip,N/A,Less Than 80%,N/A,N/A,151-200 sq ft,N/A,Does not apply,N/A,N/A,N/A,N/A,A+++ - G,,,,,Does not apply,,,,Multicolor,,7445018095014,,,,,,,,,,,,,,,,,,,9757642,,,,A,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indoor,0 oz,Powerzone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeLonghi TRD40615EBK Oil Filled Radiator Space Heater Quiet 1500W Adjustable,82.58, ,"[""We've had the DeLonghi radiant heater for a couple of months now.  It's being used to heat an insulated basement TV room about 10 x 14 feet.  The basement room gets a small amount of heat from the forced air system that heats the entire house but additional heat is required to reach a comfortable level.  Quite simply the heater doesn't adequately heat this small room. More often than not we end up wearing coats even when the heater is on. The heater is quiet and that's a plus.  But really, who cares if it doesn't keep you warm? Probably best used in a small bathroom."", ""This DeLonghi heater is not for the consumer and the reason why I am saying that is the very low quality of this unit. I received the unit and turned on, the display was showing a code PR... I found out that the problem was a wire disconnected from the circuit board, thank God I am skilled in electronics and be able to fix the unit by my self! Didn't even mentioned that the frame that contains the circuit board was partially assembled showing on one side the a huge gap compared to the other side. Conclusion, in my opinion these products have never been tested before getting to the market, shame on you DeLonghi"", ""Love the unit!  It is what I needed.  Its inside oil is permanent - meaning, it never needs to be changed.  No oil smell - unlike the other oil based heaters.  It's getting hot in no time and it's doing the job!  Nice job whoever makes this product."", 'Very efficient and good looking heater.Easy to use and easy to roll on its wheels on any type of floor.', ""When i first got this heater the weather was still cool I set the tempt to 72 it warmed up very quickly and kept the upper part of my home very warm.  I have read other people's reviews on this item and by all means I do respect the opinion of other's the price at some place'es are way to high for this heater at best spending 50 dollars is a very good price if you can find cheaper then go for it. A couple of these heater's will help on the heating cost and will keep your home nice and toasty in the winter."", 'Safe and efficient. Puts out a warm, pleasant, steady heat. Several adjustments for temperature, auto shut off, etc. Easy to use and good quality space heater.', 'The best heater we have ever owned !Not only can you set the timer to shut off -You can also set the timer to power on - Fantastic !The adjustable thermostat along with the adjustable power levelsmake this unit a sure winner for each and every scenario you have !', 'Nice products arrived on time and works well. Pristine condition', 'This heater worked right out of the box. We use it in the basement in a 12 x 20 room and it keeps the room nice and toasty.', 'I like the radiator I wish it could tell the room temperature.']",,De'Longhi,Electric,Portable Heater,Radiant,,,Steel,1,Digital,TRD40615EBK,,Timer,,,,,,,,,18.500,TRD40615E,,,27.760,,,7.090,,,,0044387147156,,,,"White, Black",,0044387147156,,,,,,,,28.4,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,De'Longhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Opened manufacturer Packaging.,,,,,,,,,,,,
Yanchuan 2-n-1 Portable Gas Heater YC-808B Free shipping,84.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Yanchuan,"Gas, Butane",Portable Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
